discovery_label,validation_label,pathway,family,discovery_abs_partial_rho,validation_pathway_abs_partial_rho,validation_family_best_pathway,validation_family_abs_partial_rho,validation_abs_rho_threshold,recovered_in_validation,validation_call,run_id,run_dir
breast_discovery,cervical_validation,emt_invasive_front,invasion_boundary_emt,0.2024515660311659,0.2283573122398774,emt_invasive_front,0.2283573122398774,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed29_20260512_1843,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed29_20260512_1843
breast_discovery,cervical_validation,immune_activation,immune_ecology,0.1903840159345418,0.2696748966793196,immune_activation,0.2696748966793196,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed29_20260512_1843,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed29_20260512_1843
breast_discovery,cervical_validation,unfolded_protein_response,metabolic_stress,0.1883301645438518,0.2962401170485033,unfolded_protein_response,0.2962401170485033,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed29_20260512_1843,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed29_20260512_1843
breast_discovery,cervical_validation,basal_squamous_state,endocrine_epithelial_identity,0.1783731701047057,0.2456503224239334,epithelial_identity,0.2534128732984631,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed29_20260512_1843,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed29_20260512_1843
breast_discovery,cervical_validation,epithelial_identity,endocrine_epithelial_identity,0.1616912219547124,0.2534128732984631,epithelial_identity,0.2534128732984631,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed29_20260512_1843,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed29_20260512_1843
breast_discovery,cervical_validation,immune_exclusion,immune_ecology,0.1603663023947308,0.2533066840715094,immune_activation,0.2696748966793196,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed29_20260512_1843,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed29_20260512_1843
breast_discovery,cervical_validation,immune_activation,immune_ecology,0.267215100651762,0.1852569597582246,immune_activation,0.1852569597582246,0.2,False,not_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,oxidative_phosphorylation,metabolic_stress,0.2501000908480938,0.2289153672796143,oxidative_phosphorylation,0.2289153672796143,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,luminal_estrogen_response,endocrine_epithelial_identity,0.2223169816718214,0.2211429852991385,basal_squamous_state,0.2424998666611404,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,basal_squamous_state,endocrine_epithelial_identity,0.2160228423829417,0.2424998666611404,basal_squamous_state,0.2424998666611404,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,emt_invasive_front,invasion_boundary_emt,0.194615822566007,0.2090060787989746,emt_invasive_front,0.2090060787989746,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,collagen_ecm_organization,stromal_remodeling_caf_ecm,0.1826875860319342,0.2233112586986805,collagen_ecm_organization,0.2233112586986805,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,unfolded_protein_response,metabolic_stress,0.1819015592781763,0.1744104104521049,oxidative_phosphorylation,0.2289153672796143,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,immune_exclusion,immune_ecology,0.1788661427563519,0.1561333040861907,immune_activation,0.1852569597582246,0.2,False,not_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0.162926022154447,0.1663587365795182,collagen_ecm_organization,0.2233112586986805,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
breast_discovery,cervical_validation,epithelial_identity,endocrine_epithelial_identity,0.1585442924670914,0.2092402420507475,basal_squamous_state,0.2424998666611404,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_seed43_20260512_1858,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_seed43_20260512_1858
