spatial_block_id,display_x,display_y,xenium_x,xenium_y,n_cells,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x11_y1,96.14604987758622,86.32527034851626,9470.17236328125,1138.0845065646702,18,0.5690824339479319,0.6321081337886794,0.3752300148482501,0.5602701061322231,0.5033285855422552,0.512336615871744,0.4370676418580441,0.1379411680337372,0.367437748230186,0.5194659740723777
block_x11_y10,72.48984960695078,86.75807564051291,9497.20556640625,5039.669270833333,6,0.0489187264933245,0.172927808876929,0.0,0.1215140612604467,0.2367769434846639,0.1628113089821602,0.2827635473847447,0.5865649453679558,0.5068665247775713,0.46869376575997
block_x11_y11,70.06075361187395,86.51054487622955,9451.795076069078,5439.748329564145,19,0.4550056011567035,0.490659129067742,0.3012725484931716,0.2526697410000131,0.3542290173320698,0.2228275763723592,0.2151307387792639,0.0,0.2463450897585329,0.369077961155543
block_x11_y2,93.55039529236788,86.05082691832757,9420.007699819711,1565.5775709885818,26,0.1849197441228627,0.2691860919890838,0.1250091325419398,0.2060216716339562,0.1934563742202094,0.3755025251920082,0.4246103873842188,0.2767983571297771,0.624395976433111,0.493688374147674
block_x11_y3,90.34633237046722,86.731447777242,9526.322378305289,2095.1876126802886,26,0.4623703176902226,0.4842543640155296,0.182698389519997,0.4212756226518988,0.4978054207636884,0.4770594252159423,0.4027783778308771,0.2724459546896355,0.57492707633262,0.3893567568607134
block_x11_y4,88.03455950140687,86.53567614941794,9489.674252717392,2476.0179814877715,23,0.3664639762563013,0.4042710152504065,0.0203346332068898,0.4389466481438858,0.3495868289036178,0.3592172470369437,0.3537701028631,0.5948428177623662,0.375155046410548,0.3324163786301652
block_x11_y5,85.71118470297152,86.58507742649587,9493.467006138393,2859.2219587053573,14,0.441057838353262,0.3726071401987294,0.3282830116470212,0.547116466681357,0.4772078737900357,0.8461324894485185,0.8635512881257745,0.3730099438996265,0.7529270514749451,0.5900020193731873
block_x11_y6,83.37869208647581,86.21990375252216,9428.82235440341,3243.150701349432,33,0.5661061794446776,0.5835294724357097,0.0309082628067519,0.5429209645837882,0.5752841119877496,0.451151803580092,0.3136823399094963,0.5398273166861278,0.3582321244452529,0.2585721257635499
block_x11_y7,80.96309455497928,87.26232327401752,9596.326994243422,3643.4268991570725,19,0.8570869742636992,0.7232104742850284,0.0796889442376456,0.6541691824023725,1.0,0.1425236166755878,0.2197045737017404,0.0584612789387445,0.1250167253683471,0.2089677295002058
block_x11_y8,78.45215233658719,86.91250546054553,9533.881733141447,4056.8098016036183,19,0.4938712761415557,0.4632779210264049,0.5373477427879739,0.4922649293045036,0.6044491970601684,0.1543699872536654,0.3300223037194818,0.19131442096998,0.1554665467970981,0.3902937257078734
block_x11_y9,75.66090129131634,86.26041083190117,9421.023491753473,4515.846245659723,18,0.5281413735806497,0.7661099494743521,0.0209998161497943,0.6736660668863981,0.6975957838443738,0.2809618447293472,0.238946102580722,0.1521802724048571,0.2011844413645397,0.2663509332219148
block_x1_y10,72.14216701841876,42.57858740169586,2205.293545035429,5014.016272256541,43,0.0469782398060637,0.2434883191888617,0.3283970481550819,0.1104742288368074,0.3751016497243412,0.3636741982163254,0.4472266122248425,0.0958732904871138,0.5529731211130402,0.3666976581780274
block_x1_y11,69.39051430567892,42.576083371664694,2199.716238839286,5467.743326822917,21,0.1040136801196858,0.1928013957670688,0.1430775477074765,0.2617557734475223,0.2220485370297907,0.2110944738333487,0.2174317292305261,0.4775483296999851,0.2990878960389632,0.3286049271785045
block_x1_y2,92.9444385859203,40.63528658627674,1923.6163832720588,1580.1907743566176,17,0.3507118235136895,0.3881952551485302,0.2139445684600561,0.5330157203905478,0.491091979470855,0.2896239711584727,0.4635622352081373,0.0573852289410755,0.2977140553864565,0.3943363223871469
block_x1_y3,89.77481495113233,40.52212833647074,1898.9926039751838,2102.6309922162222,34,0.4295574230263088,0.3341341046093073,0.1999824483856626,0.4944768173876517,0.4026310910263835,0.3058262987888089,0.4345231498190399,0.0939867679978397,0.4340049250128606,0.282512338684895
block_x1_y4,87.41779558194116,40.72627347492011,1928.2607116699219,2491.67342703683,28,0.5694065829352489,0.4778062466513501,0.2922738084522663,0.5605042695163089,0.4966449248015216,0.2346855485898785,0.3159340802336317,0.01935240350848,0.3535172759922262,0.2517451275657129
block_x1_y5,85.2013933655522,40.53807205086368,1893.0409342447917,2856.7919413248696,24,0.4203704224902194,0.3843431600275585,0.3240124571079157,0.469266201128131,0.4965020341416997,0.3431338858979886,0.3158876549533873,0.104655642054955,0.3553673790186757,0.3459830051960949
block_x1_y6,82.85141957862258,41.064583080503596,1975.5246320452009,3245.2781110491073,14,0.217197255712461,0.2054026709177082,0.0459995824270132,0.2069170557852196,0.2578525102143261,0.7281411607604767,0.5621603641073898,0.0503564153833596,0.6637619147983624,0.5533534302309745
block_x1_y7,80.31409357533411,41.354139401069524,2018.5503801618304,3664.2125069754466,21,0.3408452867255553,0.3516665629817903,0.3437562197937468,0.3740300684243856,0.4159473316762357,0.3554922491566075,0.2893715624473919,0.0190320585727759,0.4619679327413488,0.3023364985078939
block_x1_y8,78.04065368086346,41.40082100508858,2021.9879995492788,4039.1773963341348,13,0.2932520724376112,0.153396865374493,0.2386501010402913,0.3878605192153021,0.2561391104639142,0.2005431784620547,0.8846550818318828,0.1001774872156879,0.5840867534486799,0.3653720261868594
block_x1_y9,75.22051996001348,41.5669782654061,2044.1175634765625,4504.51337890625,25,0.1498874881725215,0.2908547503343007,0.1840497684896774,0.3480033451776985,0.395006561000966,0.4693365532683875,0.4647541326964083,0.1442692152194808,0.6517179483372881,0.5358429742753027
block_x2_y0,99.68096975340056,47.47347141104082,3064.813835592831,482.2198028564453,17,0.5307863823263884,0.5933105942837679,0.0932003945099959,0.4857111695859896,0.5270804376157769,0.4308681197656612,0.3923704120509185,0.0,0.4475450865021989,0.2863903111246207
block_x2_y1,95.47642104173018,47.832305995813954,3116.1441853841147,1176.1997934977214,24,0.4022328984906766,0.3850247963580966,0.4056113821553394,0.5061918844572725,0.4229442525214155,0.3008443913838854,0.5245177911773845,0.0783659187932046,0.3731769757893602,0.2902034784729201
block_x2_y10,72.34347462281674,47.87249699027413,3079.3634144176135,4990.765536221591,11,0.3188274563769802,0.2176700443761518,0.1842162849879927,0.3616644472448808,0.1802407814410606,0.3353403379362891,0.3355731481275747,0.0343056765974341,0.4731330862393934,0.3266642159942565
block_x2_y11,68.48623779186006,48.2764471258453,3138.791311795594,5627.560530865779,61,0.0228057316515488,0.2531876374732263,0.5653651513393668,0.1235911426855886,0.2769282023582485,0.2118500817856914,0.812291396674466,0.0816185019298179,0.5940293533112457,0.3813660026865584
block_x2_y2,92.75361042136358,47.60957442685222,3074.2752685546875,1624.7572913536658,26,0.3651678142307945,0.5500241396513382,0.2225147830537698,0.5103054779143695,0.4326845094903837,0.3854775327703092,0.335052475254065,0.0744993493517468,0.3792327998161764,0.2666415935571702
block_x2_y3,90.13664521273314,48.113882745214084,3152.5936279296875,2057.2271118164062,8,0.0952348565843497,0.0,0.0,0.0788470183935705,0.0224788352717225,0.4336961780191187,0.2667949036121755,0.0,0.3898450648910025,0.2924465418052115
