cell_type,metric,comparison,n_groups,n_tested_groups,top_group,bottom_group,max_mean,min_mean,statistic,p_value,fdr,status,test_scope,case,reference,n_case_contours,n_reference_contours,mean_case,mean_reference,delta_mean
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,20102.5,5.4937480970423095e-30,5.49374809704231e-29,ok,pairwise,S1,S2,76.0,334.0,0.02518529617846794,0.00637871783862441,0.018806578339843533
Macrophages,fraction,pairwise,,,,,,,78564.5,7.931533064700607e-29,7.7380810387323e-28,ok,pairwise,S3,S4,486.0,217.0,0.1196500787695119,0.011780049556769374,0.10787002921274252
11q13 Invasive Tumor Cells (G1/S),fraction,pairwise,,,,,,,28710.5,1.643664675434935e-28,1.5653949289856523e-27,ok,pairwise,S1,S3,76.0,486.0,0.02518529617846794,0.00608082404262676,0.019104472135841183
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,46366.5,1.7781705491543154e-28,1.6541121387482e-27,ok,pairwise,S2,S3,334.0,486.0,0.054623582887277276,0.16300951164078376,-0.10838592875350647
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,13709.5,4.8932263993699845e-27,4.448387635790895e-26,ok,pairwise,S1,S4,76.0,217.0,0.05266485905856183,0.01419319467508774,0.03847166438347409
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,43977.0,2.0905043171403802e-26,1.858226059680338e-25,ok,pairwise,S1,S3,100.0,562.0,598.12,7.140569395017794,590.9794306049822
11q13 Invasive Tumor Cells (G1/S),n_cells,pairwise,,,,,,,40164.5,2.2557345673303177e-25,1.9615083194176676e-24,ok,pairwise,S1,S3,100.0,562.0,20.52,0.49110320284697506,20.028896797153024
"CAFs, DCIS Associated",n_cells,pairwise,,,,,,,60748.0,3.4052422338759445e-25,2.8980784969156976e-24,ok,pairwise,S2,S4,555.0,330.0,1.581981981981982,53.415151515151514,-51.83316953316953
Myoepithelial Cells,n_cells,pairwise,,,,,,,39407.0,2.36752468990677e-23,1.972937241588975e-22,ok,pairwise,S1,S2,100.0,555.0,8.07,0.8252252252252252,7.2447747747747755
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,300.0,5.760191388509607e-23,4.702197051844577e-22,ok,pairwise,S1,S5,100.0,31.0,0.0,256.7741935483871,-256.7741935483871
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,24003.0,1.3486648845759649e-22,1.0789319076607719e-21,ok,pairwise,S1,S4,100.0,330.0,11.15,0.2727272727272727,10.877272727272727
Myeloid Cells,n_cells,pairwise,,,,,,,125780.0,2.8182921837183843e-22,2.210425242132066e-21,ok,pairwise,S2,S3,555.0,562.0,0.11891891891891893,1.0551601423487544,-0.9362412234298355
Luminal-like Amorphous DCIS Cells,fraction,pairwise,,,,,,,38.0,4.522478198947711e-22,3.478829383805932e-21,ok,pairwise,S1,S5,76.0,26.0,0.0,0.86364841726621,-0.86364841726621
Myoepithelial Cells,n_cells,pairwise,,,,,,,3420.0,9.851362639280509e-20,7.434990671155102e-19,ok,pairwise,S2,S5,555.0,31.0,0.8252252252252252,10.387096774193548,-9.561871548968323
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,2677.5,1.6730788644712485e-19,1.23931767738611e-18,ok,pairwise,S1,S4,76.0,217.0,0.0028057455582461846,0.6230552019307445,-0.6202494563724983
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,40683.0,4.9769647727161215e-19,3.619610743793543e-18,ok,pairwise,S1,S3,100.0,562.0,48.35,2.122775800711744,46.22722419928826
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,28299.0,1.012407621718262e-18,7.231483012273301e-18,ok,pairwise,S1,S3,76.0,486.0,0.05266485905856183,0.018741602133558626,0.033923256925003205
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,38751.0,1.8658294962609503e-18,1.3093540324638247e-17,ok,pairwise,S1,S2,100.0,555.0,11.15,1.5657657657657658,9.584234234234234
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,49314.0,2.0938700375946337e-18,1.4440483017894025e-17,ok,pairwise,S2,S4,334.0,217.0,0.165110733363356,0.01419319467508774,0.15091753868826827
T Lymphocytes,fraction,pairwise,,,,,,,108345.5,2.5106774142699205e-18,1.702154179166048e-17,ok,pairwise,S2,S3,334.0,486.0,0.30580621314218637,0.04188546987881252,0.26392074326337384
T Lymphocytes,fraction,pairwise,,,,,,,50835.5,3.209134107166497e-18,2.1394227381109982e-17,ok,pairwise,S2,S4,334.0,217.0,0.30580621314218637,0.03584737968671101,0.26995883345547533
Endothelial Cells,fraction,pairwise,,,,,,,7647.0,6.230271138915266e-17,4.085423697649355e-16,ok,pairwise,S1,S3,76.0,486.0,0.003822386355861836,0.1559209611358662,-0.15209857478000438
Pericytes,fraction,pairwise,,,,,,,7829.5,1.9968387487126866e-16,1.2882830636856042e-15,ok,pairwise,S1,S3,76.0,486.0,0.004538521727193776,0.14361128106202325,-0.1390727593348295
"CAFs, DCIS Associated",fraction,pairwise,,,,,,,8107.0,6.238245552296845e-16,3.96079082685514e-15,ok,pairwise,S1,S3,76.0,486.0,0.0028057455582461846,0.16300951164078376,-0.16020376608253756
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,39303.0,9.590105226297569e-16,5.99381576643598e-15,ok,pairwise,S1,S2,100.0,555.0,48.35,3.78018018018018,44.56981981981982
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,36142.0,1.1091186762801059e-15,6.8253457001852675e-15,ok,pairwise,S1,S2,100.0,555.0,5.84,0.409009009009009,5.430990990990991
Myeloid Cells,fraction,pairwise,,,,,,,63754.0,1.9390859427002595e-15,1.1752036016365208e-14,ok,pairwise,S2,S3,334.0,486.0,0.0014616749856544069,0.02714590043972934,-0.025684225454074932
"CAFs, Invasive Associated",fraction,pairwise,,,,,,,12251.0,7.884865402896656e-15,4.707382330087556e-14,ok,pairwise,S1,S4,76.0,217.0,0.08154202054515691,0.03845669990930821,0.0430853206358487
11q13 Invasive Tumor Cells (Mitotic),n_cells,pairwise,,,,,,,3308.5,1.5850727564752242e-14,9.32395739103073e-14,ok,pairwise,S4,S5,330.0,31.0,0.19090909090909092,0.9032258064516129,-0.712316715542522
Dendritic Cells,fraction,pairwise,,,,,,,48144.0,1.6143565482978215e-14,9.358588685784473e-14,ok,pairwise,S2,S4,334.0,217.0,0.13649365356177207,0.01327108712999317,0.1232225664317789
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,112465.0,5.079795954289997e-14,2.9027405453085697e-13,ok,pairwise,S3,S4,562.0,330.0,7.140569395017794,0.4212121212121212,6.719357273805673
Basal-like Structured DCIS Cells,fraction,pairwise,,,,,,,102257.5,6.09867043172832e-14,3.435870665762434e-13,ok,pairwise,S2,S3,334.0,486.0,0.165110733363356,0.018741602133558626,0.14636913122979736
Dendritic Cells,n_cells,pairwise,,,,,,,21956.5,1.9898015470611415e-13,1.1054453039228564e-12,ok,pairwise,S1,S4,100.0,330.0,5.63,1.4181818181818182,4.211818181818182
Basal-like Structured DCIS Cells,n_cells,pairwise,,,,,,,110129.0,2.1345685160882328e-13,1.1696265841579359e-12,ok,pairwise,S2,S4,555.0,330.0,3.78018018018018,4.539393939393939,-0.7592137592137589
Macrophages,fraction,pairwise,,,,,,,9282.0,4.581281788868265e-13,2.4763685345233868e-12,ok,pairwise,S1,S3,76.0,486.0,0.0010981730173872054,0.1196500787695119,-0.1185519057521247
Pericytes,n_cells,pairwise,,,,,,,35123.5,7.081272653572034e-13,3.776678748571752e-12,ok,pairwise,S1,S2,100.0,555.0,7.68,0.6288288288288288,7.051171171171171
Myoepithelial Cells,n_cells,pairwise,,,,,,,22499.0,7.775601846732159e-13,4.0924220245958726e-12,ok,pairwise,S1,S4,100.0,330.0,8.07,19.342424242424244,-11.272424242424243
Myoepithelial Cells,n_cells,pairwise,,,,,,,2255.0,1.4130165263171783e-12,7.340345591258069e-12,ok,pairwise,S4,S5,330.0,31.0,19.342424242424244,10.387096774193548,8.955327468230696
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,140942.0,2.2420482414711826e-12,1.1497683289595809e-11,ok,pairwise,S2,S3,555.0,562.0,0.02882882882882883,0.8772241992882562,-0.8483953704594274
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,1877.0,6.272127381504845e-12,3.175760699496124e-11,ok,pairwise,S1,S5,76.0,26.0,0.7372875914407905,0.006145292192446329,0.7311422992483442
Myoepithelial Cells,fraction,pairwise,,,,,,,17791.5,8.938113493257867e-12,4.448932169862033e-11,ok,pairwise,S1,S2,76.0,334.0,0.022385031985703564,0.01876272567115958,0.0036223063145439834
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,111156.0,9.009087643970617e-12,4.448932169862033e-11,ok,pairwise,S3,S4,562.0,330.0,3.5498220640569396,0.2727272727272727,3.2770947913296666
Pericytes,n_cells,pairwise,,,,,,,21026.0,1.3765636056373728e-11,6.714944417743281e-11,ok,pairwise,S1,S4,100.0,330.0,7.68,5.115151515151515,2.5648484848484845
Myeloid Cells,n_cells,pairwise,,,,,,,108623.0,1.771226395986006e-11,8.536030824028944e-11,ok,pairwise,S3,S4,562.0,330.0,1.0551601423487544,0.296969696969697,0.7581904453790574
Dendritic Cells,n_cells,pairwise,,,,,,,111113.5,3.1774725338541105e-11,1.5130821589781478e-10,ok,pairwise,S3,S4,562.0,330.0,1.9270462633451957,1.4181818181818182,0.5088644451633775
11q13 Invasive Tumor Cells,fraction,pairwise,,,,,,,45708.5,3.707259467836976e-11,1.726219263535685e-10,ok,pairwise,S2,S4,334.0,217.0,0.09496794525809271,0.034200988442476356,0.060766956815616356
Endothelial Cells,n_cells,pairwise,,,,,,,34645.0,3.711371416601723e-11,1.726219263535685e-10,ok,pairwise,S1,S2,100.0,555.0,7.13,0.9477477477477477,6.182252252252252
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,21234.0,4.8075687797457566e-11,2.2103764504578189e-10,ok,pairwise,S1,S4,100.0,330.0,5.84,4.554545454545455,1.2854545454545452
Myoepithelial Cells,fraction,pairwise,,,,,,,1811.0,5.195440504275044e-11,2.3615638655795655e-10,ok,pairwise,S2,S5,334.0,26.0,0.01876272567115958,0.04905181728219472,-0.030289091611035136
