assigned_structure,gene,shell_start,shell_end,shell_mid,mean_density_per_um2,sem_density_per_um2,n_shells,total_count
S5,HSPB8,20.0,40.0,30.0,0.0016127194907979792,0.0015700009954673587,9,2
S5,HSPB8,40.0,60.0,50.0,0.000807636509349666,0.0007621042487569962,10,2
S5,HSPB8,60.0,80.0,70.0,0.0,0.0,12,0
S5,HSPB8,80.0,100.0,90.0,0.0018978563433470906,0.0018261683430869555,10,7
S1,KDR,-100.0,-80.0,-90.0,0.0005206678916792301,0.00011382767334108832,35,886
S1,KDR,-80.0,-60.0,-70.0,0.00037458981974497474,6.247321861025014e-05,42,893
S1,KDR,-60.0,-40.0,-50.0,0.00030871745963577835,5.6271953959534865e-05,54,890
S1,KDR,-40.0,-20.0,-30.0,0.00031446733503319804,4.1094652950609295e-05,64,1204
S1,KDR,-20.0,0.0,-10.0,0.0009526458331733929,0.00042959456537632653,100,3258
S1,KDR,0.0,20.0,10.0,0.0006825551476810457,0.00019974998455978978,96,66
S1,KDR,20.0,40.0,30.0,0.0003429863828877816,0.000193101446273494,78,21
S1,KDR,40.0,60.0,50.0,0.00025643793983615485,0.00017000210140600267,80,24
S1,KDR,60.0,80.0,70.0,0.0001937832450184838,0.00015950405992229053,84,18
S1,KDR,80.0,100.0,90.0,0.00047926937752818395,0.00020950338767628608,92,15
S4,KDR,-100.0,-80.0,-90.0,0.0003000786976938831,0.00011092014484608778,7,498
S4,KDR,-80.0,-60.0,-70.0,9.344894585704269e-05,3.942418205260301e-05,17,421
S4,KDR,-60.0,-40.0,-50.0,0.0001932750872544446,0.00011074077355342302,43,527
S4,KDR,-40.0,-20.0,-30.0,0.00021319710033935768,5.9413297335738586e-05,118,618
S4,KDR,-20.0,0.0,-10.0,0.0006676445280266596,0.0001795248394117131,330,1083
S4,KDR,0.0,20.0,10.0,0.0002993300037967501,0.0001181045145302848,303,34
S4,KDR,20.0,40.0,30.0,0.0002460314638954004,0.00017697595943382823,215,21
S4,KDR,40.0,60.0,50.0,0.00040159711522795707,0.0002246546876182659,219,9
S4,KDR,60.0,80.0,70.0,0.0006196073835021549,0.00035385507509572736,237,19
S4,KDR,80.0,100.0,90.0,0.000716526268751759,0.000312658830865267,237,17
S5,KDR,-100.0,-80.0,-90.0,0.001106551631901985,0.0006334029043324482,9,80
S5,KDR,-80.0,-60.0,-70.0,0.0004908241109018433,0.00031541006452536375,18,103
S5,KDR,-60.0,-40.0,-50.0,0.0003499987455151701,0.00015784661004092867,21,100
S5,KDR,-40.0,-20.0,-30.0,0.00038747054092593236,0.00011022748919751782,25,210
S5,KDR,-20.0,0.0,-10.0,0.0007994619653482231,0.00019187006224585722,31,622
S5,KDR,0.0,20.0,10.0,0.002917972628676796,0.0015682297978766553,16,13
S5,KDR,20.0,40.0,30.0,7.67651757837274e-05,7.67651757837274e-05,9,2
S5,KDR,40.0,60.0,50.0,0.0,0.0,10,0
S5,KDR,60.0,80.0,70.0,0.0,0.0,12,0
S5,KDR,80.0,100.0,90.0,0.0,0.0,10,0
S1,MMP11,-100.0,-80.0,-90.0,7.208780478829235e-05,1.5095684903917286e-05,35,132
S1,MMP11,-80.0,-60.0,-70.0,0.00013635198529084682,4.830097707493905e-05,42,181
S1,MMP11,-60.0,-40.0,-50.0,9.11942418307535e-05,3.0097193121620478e-05,54,200
S1,MMP11,-40.0,-20.0,-30.0,0.00018119874148398715,3.303615709916433e-05,64,418
S1,MMP11,-20.0,0.0,-10.0,0.00036961439314243933,6.587517799058001e-05,100,1240
S1,MMP11,0.0,20.0,10.0,0.0008603057058735158,0.000312354871879156,96,49
S1,MMP11,20.0,40.0,30.0,0.0007874104341891948,0.00038775688355670887,78,12
S1,MMP11,40.0,60.0,50.0,0.0005665334403886624,0.0005544865364183756,80,8
S1,MMP11,60.0,80.0,70.0,0.0023535318915803355,0.0017449965173813233,84,14
S1,MMP11,80.0,100.0,90.0,0.00028370268850817006,0.00018140804700292625,92,13
S4,MMP11,-100.0,-80.0,-90.0,6.733313597468584e-06,3.999061362868565e-06,7,20
S4,MMP11,-80.0,-60.0,-70.0,3.675352353175008e-06,1.757219830999013e-06,17,20
S4,MMP11,-60.0,-40.0,-50.0,6.492661228160146e-06,3.8981132063501065e-06,43,38
S4,MMP11,-40.0,-20.0,-30.0,0.00011870279655511741,8.106230723305138e-05,118,66
S4,MMP11,-20.0,0.0,-10.0,0.0002546734783907003,8.674062954524888e-05,330,188
S4,MMP11,0.0,20.0,10.0,0.0005707924165062981,0.00020470006519082845,303,15
S4,MMP11,20.0,40.0,30.0,0.0009931911036959533,0.00041764824571433805,215,10
S4,MMP11,40.0,60.0,50.0,0.0003919959001758296,0.00021512483313557306,219,8
S4,MMP11,60.0,80.0,70.0,0.0008855412373051092,0.00041546352842326313,237,8
S4,MMP11,80.0,100.0,90.0,0.0006635081744218455,0.0003077260461229954,237,12
S5,MMP11,-100.0,-80.0,-90.0,2.0783018353652048e-05,1.6213989888562997e-05,9,7
S5,MMP11,-80.0,-60.0,-70.0,0.00010081238768222024,8.773565093783015e-05,18,7
S5,MMP11,-60.0,-40.0,-50.0,3.212205349581004e-05,1.168996108915878e-05,21,17
S5,MMP11,-40.0,-20.0,-30.0,4.308864008555171e-05,2.593383314689818e-05,25,16
S5,MMP11,-20.0,0.0,-10.0,5.427905734374357e-05,1.692800860731905e-05,31,37
S5,MMP11,0.0,20.0,10.0,0.0,0.0,16,0
S5,MMP11,20.0,40.0,30.0,0.0,0.0,9,0
S5,MMP11,40.0,60.0,50.0,0.0,0.0,10,0
S5,MMP11,60.0,80.0,70.0,0.0,0.0,12,0
S5,MMP11,80.0,100.0,90.0,0.0,0.0,10,0
S1,PGR,-100.0,-80.0,-90.0,0.0018792923255866413,0.0002717493817420401,35,3051
S1,PGR,-80.0,-60.0,-70.0,0.001735409937535668,0.00023028723138788265,42,3866
S1,PGR,-60.0,-40.0,-50.0,0.0016953793954951298,0.00021721827495116322,54,5167
S1,PGR,-40.0,-20.0,-30.0,0.0013976050046303778,0.0001746805595087543,64,5682
S1,PGR,-20.0,0.0,-10.0,0.0011968056904603614,0.0002708716937919681,100,5135
S1,PGR,0.0,20.0,10.0,0.0004069150470409971,0.0001450243906613368,96,47
S1,PGR,20.0,40.0,30.0,4.156305085694335e-05,2.0952180604929058e-05,78,8
S1,PGR,40.0,60.0,50.0,0.0002278184966791125,0.00015874138920331273,80,12
S1,PGR,60.0,80.0,70.0,0.00029915125687025564,0.00015429738149089336,84,14
S1,PGR,80.0,100.0,90.0,5.237847742823037e-05,4.398689694269856e-05,92,7
S4,PGR,-100.0,-80.0,-90.0,0.0001359431030289638,7.545006915874391e-05,7,298
S4,PGR,-80.0,-60.0,-70.0,8.357325197749363e-05,4.841352962256698e-05,17,319
S4,PGR,-60.0,-40.0,-50.0,9.484150286389965e-05,3.265376329387221e-05,43,306
S4,PGR,-40.0,-20.0,-30.0,0.00023045284690855972,6.235653894370669e-05,118,415
S4,PGR,-20.0,0.0,-10.0,0.00017649183484478166,3.651677475068555e-05,330,528
S4,PGR,0.0,20.0,10.0,0.0001536213133273867,8.780749242270734e-05,303,13
S4,PGR,20.0,40.0,30.0,7.618546722866836e-06,3.3161141538906525e-06,215,8
S4,PGR,40.0,60.0,50.0,0.0002080680173668968,0.00020077404589626086,219,8
S4,PGR,60.0,80.0,70.0,0.00022069979763545574,0.00015385565508246968,237,9
S4,PGR,80.0,100.0,90.0,6.739039397914089e-05,6.469930016397767e-05,237,10
S5,PGR,-100.0,-80.0,-90.0,0.000857371410924096,0.00040796244981661277,9,61
S5,PGR,-80.0,-60.0,-70.0,0.0006027331837417326,0.0001501475266070128,18,124
S5,PGR,-60.0,-40.0,-50.0,0.0005147743425049292,0.00012622623471146918,21,171
S5,PGR,-40.0,-20.0,-30.0,0.0006287337637927333,0.0001280958230868232,25,262
S5,PGR,-20.0,0.0,-10.0,0.0009545227503939195,0.00024993247136757775,31,371
S5,PGR,0.0,20.0,10.0,0.0002217482639047095,0.0002217482639047095,16,2
S5,PGR,20.0,40.0,30.0,0.0,0.0,9,0
S5,PGR,40.0,60.0,50.0,0.0,0.0,10,0
S5,PGR,60.0,80.0,70.0,0.0,0.0,12,0
S5,PGR,80.0,100.0,90.0,0.0,0.0,10,0
S1,POSTN,-100.0,-80.0,-90.0,0.0008883688198846185,0.00023861372771695705,35,1862
S1,POSTN,-80.0,-60.0,-70.0,0.0018136025838817568,0.0009597105216763944,42,2677
S1,POSTN,-60.0,-40.0,-50.0,0.001287282513975517,0.0004830262140645314,54,2817
S1,POSTN,-40.0,-20.0,-30.0,0.003082886364930882,0.0006341518147599717,64,6268
S1,POSTN,-20.0,0.0,-10.0,0.010982356546746286,0.00216302682886162,100,24002
S1,POSTN,0.0,20.0,10.0,0.012881638130550216,0.0028311246057126835,96,696
S1,POSTN,20.0,40.0,30.0,0.009047769774806409,0.0035374241976968324,78,125
S1,POSTN,40.0,60.0,50.0,0.017025759746152672,0.007074540018438969,80,134
S1,POSTN,60.0,80.0,70.0,0.010671092012876124,0.005392093914218439,84,105
S1,POSTN,80.0,100.0,90.0,0.004895160529624334,0.001734798092072872,92,124
S4,POSTN,-100.0,-80.0,-90.0,0.00037992509332354787,0.00021235464742523055,7,1110
S4,POSTN,-80.0,-60.0,-70.0,0.0003864662069249488,0.00016410770331492256,17,1306
S4,POSTN,-60.0,-40.0,-50.0,0.0009116669291062581,0.00023177620400656815,43,1959
S4,POSTN,-40.0,-20.0,-30.0,0.005328190681754676,0.0020929289455014835,118,2630
S4,POSTN,-20.0,0.0,-10.0,0.006667451539663916,0.0009765100125028254,330,6337
S4,POSTN,0.0,20.0,10.0,0.007618817867196586,0.0019074494378142589,303,328
S4,POSTN,20.0,40.0,30.0,0.004601546245188328,0.001514933763420644,215,93
S4,POSTN,40.0,60.0,50.0,0.006127343810586318,0.0028141299927628457,219,131
S4,POSTN,60.0,80.0,70.0,0.005192152085519647,0.0014642589626898165,237,99
S4,POSTN,80.0,100.0,90.0,0.011615663711789521,0.0037111603699447227,237,187
S5,POSTN,-100.0,-80.0,-90.0,0.0009473929787339392,0.000486658404856619,9,89
S5,POSTN,-80.0,-60.0,-70.0,0.00040993224788260263,0.00016695006120682278,18,98
S5,POSTN,-60.0,-40.0,-50.0,0.0004177186095142956,0.00012397545264195524,21,150
S5,POSTN,-40.0,-20.0,-30.0,0.0005584815559760544,0.0001256956704420036,25,301
S5,POSTN,-20.0,0.0,-10.0,0.0018135642879761344,0.0002991083872110594,31,1384
S5,POSTN,0.0,20.0,10.0,0.0038240773619677647,0.0015219297136154976,16,21
S5,POSTN,20.0,40.0,30.0,0.004771500501542295,0.004771500501542294,9,1
S5,POSTN,40.0,60.0,50.0,0.00010012289232108295,0.00010012289232108294,10,5
S5,POSTN,60.0,80.0,70.0,0.0,0.0,12,0
S5,POSTN,80.0,100.0,90.0,0.005717260014947369,0.004349667765676357,10,2
