image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis
embedding__plip_001,10,0.1582909654439614,0.0726680684016878,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_054,10,0.1574869095395666,0.06517460462409837,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_061,10,0.1534185863363548,0.07496349518938819,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_039,10,0.1529732686286024,0.05941043881000472,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_047,10,0.1489966573030011,0.07615828783622473,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_043,10,0.1488975540574835,0.053713786182240805,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_052,10,0.148638472027562,0.07815769061706657,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_016,10,0.1481425219886858,0.04391233201117394,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_060,10,0.1481378434573386,0.07115312010996343,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_033,10,0.1424209600555477,0.0651185029484236,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_002,10,0.1413988651324332,0.08007276527910792,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_029,10,0.1411646053003748,0.05815959234415935,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_038,10,0.1389997299746973,0.05559166183867061,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_022,10,0.1358499688196777,0.04379240212226687,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_045,10,0.133527527930358,0.0565832716950751,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_027,10,0.1308239754397099,0.04074308606357205,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_062,10,0.126030764417074,0.04913263372307057,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_011,10,0.1249018704281271,0.05269221822342633,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_046,10,0.1234633538806182,0.059347359060859806,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_024,10,0.1168776541814912,0.05962423590056741,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_010,10,0.1101739838383144,0.0422623754544796,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_009,10,0.1073090530990388,0.0664243468752109,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_051,10,0.1066218356558728,0.042012366565856565,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_007,10,0.106232212961581,0.05038799953091818,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_049,10,0.10567493888152,0.0667699294492374,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_003,10,0.1033383060167916,0.05501553677833047,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_063,10,0.1031284056143039,0.050474551833701295,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_008,10,0.1030513953494031,0.06156427523724435,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_020,10,0.0982591748933177,0.049060199037302896,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_036,10,0.0877229363404327,0.061826421487705174,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_005,10,0.0867559430363394,0.056936009057127736,0,,,0,0,0,,cervical_validation,40,False
embedding__plip_048,10,0.0830564013033632,0.03445710511705945,0,,,0,0,0,,cervical_validation,40,False
