cell_id,x,y,celltype,role,feature,score,sender_celltype,receiver_celltype,ligand,receptor
bokabmke-1,9432.484375,1546.2686767578125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
boknnopn-1,9455.1767578125,1231.175048828125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bolfikcc-1,9486.79296875,1218.699951171875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bonbdjod-1,9437.5556640625,1548.4224853515625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bonmamha-1,9414.8662109375,1736.009765625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bphefgjc-1,9385.4375,5586.1630859375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bpiebfcj-1,9410.15234375,3402.6435546875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bpldennj-1,9338.103515625,3281.9482421875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bplknobf-1,9227.3193359375,4630.8388671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bpmfocmg-1,9300.9326171875,4669.712890625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bpnbbhjl-1,9266.6396484375,4553.181640625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
bpnjibdn-1,9313.5224609375,4581.826171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cablepch-1,9219.044921875,1708.4586181640625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cajafjha-1,8934.1240234375,469.12542724609375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cajpjnpk-1,9230.2197265625,677.3861694335938,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cameecbj-1,9327.6416015625,1511.96533203125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
capnbfnf-1,9036.603515625,1784.116943359375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cbfnlbkp-1,6708.35302734375,1508.9921875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cbicfalb-1,7873.81005859375,2108.387451171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cbloannd-1,7462.4892578125,1709.21630859375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cccjkfeh-1,7252.28955078125,800.0029296875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccebdajn-1,7116.9619140625,504.39788818359375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cchcnokb-1,8206.4365234375,2115.529541015625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cckpfnfo-1,8274.8037109375,3798.341796875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccmedpnm-1,8261.810546875,3487.57275390625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccmhfkgg-1,8203.9404296875,3286.381103515625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccmmncak-1,8324.150390625,2331.8837890625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccncnlhl-1,8420.1611328125,2987.1201171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccokkpih-1,8539.8720703125,2220.358154296875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccomfpbg-1,8495.0224609375,2391.38818359375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ccpidbbb-1,8503.392578125,3487.03955078125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cdchdkhe-1,8584.7744140625,2907.381103515625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cddljgmp-1,8556.6484375,1358.8602294921875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cddmkhod-1,8588.1005859375,1355.163818359375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cdkmejpk-1,7581.11279296875,627.866943359375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cdpefcgo-1,8899.6474609375,1247.746337890625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceakpcdp-1,8342.2451171875,993.0818481445312,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceamalbb-1,8309.6669921875,1206.3431396484375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceamdaai-1,8306.9462890625,1198.3411865234375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceelncbm-1,8598.6689453125,380.1898498535156,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceficphb-1,8631.2890625,494.755859375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cehahlal-1,8512.0283203125,820.21435546875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cehghlii-1,8371.5419921875,127.13973236083984,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
celjeicg-1,84.41893768310547,2893.827880859375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
celmfldd-1,85.16910552978516,2981.814453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
celnjabc-1,85.3447494506836,2967.568359375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cemegkaf-1,129.3267822265625,2991.36279296875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cemeoghh-1,133.36346435546875,3004.48046875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cemhdafg-1,143.21664428710938,3019.45703125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cemicffp-1,148.21163940429688,3021.161376953125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceoegpdj-1,218.18130493164062,2886.075439453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceoepapc-1,222.5458221435547,2872.5888671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ceogcjlg-1,218.61941528320312,2912.79443359375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cfdejpfe-1,522.793212890625,2663.50537109375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cffelool-1,571.013916015625,2720.894775390625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cfgdjojk-1,490.0097961425781,2727.998291015625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cfhlmecc-1,1479.57958984375,3089.28759765625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cfibncnh-1,1505.352783203125,2974.2490234375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
cficimnn-1,1517.2371826171875,2950.488525390625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
