cell_id,x,y,celltype,pathway,score
aceaffgj-1,744.6474609375,3635.773681640625,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
acekbjpj-1,742.5292358398438,3267.081787109375,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
acekelmg-1,798.9502563476562,3250.30859375,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.25
acfdhpjk-1,617.5618896484375,2987.06298828125,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
acfmnelf-1,1644.29931640625,2480.2431640625,Dendritic Cells,MacrophageProgram,0.6666666666666667
achafhmj-1,1500.756591796875,2783.578125,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
achapogo-1,1505.703369140625,2816.792724609375,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
achebcoe-1,1397.6986083984375,2934.36962890625,Macrophages,MacrophageProgram,1.0
achjpgnd-1,1709.3935546875,4828.80712890625,Macrophages,MacrophageProgram,0.4166666666666667
achkepbo-1,1678.2552490234375,4483.537109375,Macrophages,MacrophageProgram,0.5
achnhjhe-1,1722.0426025390625,4328.97705078125,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
acigmjhb-1,1415.085205078125,3959.7666015625,Dendritic Cells,MacrophageProgram,0.5
acinmlnm-1,1512.4063720703125,3581.7890625,Pericytes,MacrophageProgram,0.16666666666666669
acjcgofo-1,1500.501953125,3526.63818359375,Dendritic Cells,MacrophageProgram,0.33333333333333337
acjgaapl-1,1514.7518310546875,3055.703369140625,T Lymphocytes,MacrophageProgram,0.25
acjgogob-1,1523.0416259765625,3059.619384765625,Macrophages,MacrophageProgram,1.0
acjiaicj-1,1447.2601318359375,3066.989013671875,Dendritic Cells,MacrophageProgram,1.0
acjpklen-1,1553.594482421875,3505.1552734375,Dendritic Cells,MacrophageProgram,0.4166666666666667
ackjmmcc-1,1370.182373046875,3457.6845703125,T Lymphocytes,MacrophageProgram,0.16666666666666669
ackomjio-1,303.0429992675781,2305.192626953125,Macrophages,MacrophageProgram,0.25
acmefnhd-1,823.96728515625,2326.427490234375,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.25
acminaed-1,877.7551879882812,2355.328369140625,Dendritic Cells,MacrophageProgram,1.0
acmippak-1,907.680908203125,2408.6474609375,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
acojnfjk-1,789.8047485351562,2675.859130859375,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
acpjadoj-1,1232.121826171875,2221.815673828125,Dendritic Cells,MacrophageProgram,0.5
acplocfo-1,1476.492431640625,2322.452392578125,Plasma Cells,MacrophageProgram,0.16666666666666669
adaallko-1,1447.8114013671875,2287.3681640625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
adamailh-1,1434.6395263671875,2621.057373046875,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
adbnklhi-1,1492.58740234375,2106.494384765625,Macrophages,MacrophageProgram,0.75
adcagdof-1,1498.177490234375,2136.737060546875,Myoepithelial Cells,MacrophageProgram,0.16666666666666669
adcfhmpl-1,1451.406982421875,2279.076416015625,Basal-like Structured DCIS Cells,MacrophageProgram,0.25
adeelgoh-1,1257.759765625,2470.188232421875,Macrophages,MacrophageProgram,0.25
adeknijc-1,1355.2879638671875,2648.3095703125,Macrophages,MacrophageProgram,0.9166666666666667
adfapdib-1,1333.8258056640625,2571.89794921875,T Lymphocytes,MacrophageProgram,0.16666666666666669
adfmhdpc-1,1584.102783203125,1337.9794921875,Dendritic Cells,MacrophageProgram,0.25
adgcdipk-1,1437.9202880859375,1350.13720703125,Macrophages,MacrophageProgram,1.0
adgfcflh-1,1740.4600830078125,842.4817504882812,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.33333333333333337
adgiopaf-1,1659.1634521484375,832.5538330078125,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
adgkjdla-1,1681.9188232421875,2113.47021484375,Endothelial Cells,MacrophageProgram,0.16666666666666669
adgkmhbe-1,1636.0411376953125,2154.02490234375,CXCL14+ Fibroblasts,MacrophageProgram,0.16666666666666669
adgpkkep-1,1590.1556396484375,2182.15185546875,CXCL14+ Fibroblasts,MacrophageProgram,0.16666666666666669
adhankml-1,1666.24853515625,2111.851318359375,Macrophages,MacrophageProgram,0.6666666666666667
adhgapea-1,1912.865478515625,2073.4833984375,Macrophages,MacrophageProgram,1.0
adigmcnp-1,1634.665771484375,1472.714111328125,Dendritic Cells,MacrophageProgram,0.16666666666666669
adiojkmh-1,1342.54443359375,1545.1082763671875,T Lymphocytes,MacrophageProgram,0.4166666666666667
