receptor,Hypoxic Tumor Cells,Macrophages,Cytotoxic T Cells,Migratory Invasive Basal Cells,Metabolic Invasive Basal Cells,Naive & Memory T Cells,B Cells,Endothelial Cells,Neutrophils,Dyskeratotic Tumor Cells,Parabasal Tumor Cells,Exhausted T Cells,Differentiating Tumor Cells,Dendritic Cells,Regulatory T Cells,Mast Cells,Interstitial Fibroblasts,Endocervical Ciliated Cells,Plasma Cells,Endocervical Columnar Cells,Stroma & Smooth Muscle,Proliferative Parabasal Cells,Detachment,OR4F17+ Cells,Cancer Associated Fibroblasts,Smooth Muscle,nan
CADM1,0.4577433859100752,0.295430495318765,0.295430495318765,0.1660296814538401,0.1660296814538401,0.295430495318765,0.295430495318765,0.1125815593762795,0.295430495318765,0.295430495318765,0.1660296814538401,0.295430495318765,0.1660296814538401,0.1660296814538401,0.0657514499349547,0.295430495318765,0.2342704788637473,1.0,0.295430495318765,1.0,0.1125815593762795,0.1660296814538401,0.2342704788637473,0.295430495318765,0.0657514499349547,0.2256383818594617,
CD44,0.4519096982237686,0.1509644589685342,0.1509644589685342,0.290656096976953,0.290656096976953,0.1509644589685342,0.1509644589685342,0.290656096976953,0.2664831993346891,0.2664831993346891,0.290656096976953,0.0591372713216265,0.290656096976953,0.290656096976953,0.1102095443130204,0.1509644589685342,0.290656096976953,1.0,0.1509644589685342,1.0,0.290656096976953,0.290656096976953,0.290656096976953,0.2664831993346891,0.1102095443130204,0.290656096976953,
EPHA3,0.4500572677627569,0.0998442241040923,0.0998442241040923,0.2938255486319097,0.2938255486319097,0.0998442241040923,0.0998442241040923,0.2938255486319097,0.2671304784422154,0.2671304784422154,0.2938255486319097,0.1613946458474742,0.2938255486319097,0.2938255486319097,0.1613946458474742,0.0998442241040923,0.2938255486319097,1.0,0.0998442241040923,1.0,0.2938255486319097,0.2938255486319097,0.2938255486319097,0.2671304784422154,0.1613946458474742,0.2938255486319097,
GPNMB,0.4547056453304743,0.2943669070986105,0.2943669070986105,0.1666967374452622,0.1666967374452622,0.2943669070986105,0.2943669070986105,0.2200326730847965,0.2943669070986105,0.2943669070986105,0.1666967374452622,0.0697665140744892,0.1666967374452622,0.0838600702458143,0.1085788526120538,0.2943669070986105,0.2200326730847965,1.0,0.2943669070986105,1.0,0.2200326730847965,0.1666967374452622,0.2200326730847965,0.2943669070986105,0.1085788526120538,0.2200326730847965,
IL6R,0.4546549743863707,0.1592050469442024,0.1592050469442024,0.2882476934583469,0.2882476934583469,0.1592050469442024,0.1592050469442024,0.2882476934583469,0.2684904047279152,0.2684904047279152,0.2882476934583469,0.0995203756243515,0.2882476934583469,0.2882476934583469,0.0476067128706706,0.1592050469442024,0.2882476934583469,1.0,0.1592050469442024,1.0,0.2882476934583469,0.2882476934583469,0.2882476934583469,0.2684904047279152,0.0773959671469122,0.2882476934583469,
MET,0.4535707676046299,0.2940178672580052,0.2940178672580052,0.1714411903937293,0.1714411903937293,0.2940178672580052,0.2940178672580052,0.1575208491354359,0.2940178672580052,0.2940178672580052,0.1714411903937293,0.0908909205470976,0.1714411903937293,0.0822606870633884,0.1575208491354359,0.2940178672580052,0.2455722604279556,1.0,0.2940178672580052,1.0,0.1575208491354359,0.1714411903937293,0.2455722604279556,0.2940178672580052,0.1575208491354359,0.2455722604279556,
NOTCH1,0.455479300993567,0.2953114032396105,0.2953114032396105,0.1637253326466508,0.1637253326466508,0.2953114032396105,0.2953114032396105,0.2203551129967629,0.2953114032396105,0.2953114032396105,0.1637253326466508,0.0537528118079053,0.1637253326466508,0.0782392891693075,0.110061569906058,0.2953114032396105,0.2203551129967629,1.0,0.2953114032396105,1.0,0.2203551129967629,0.1637253326466508,0.2203551129967629,0.2953114032396105,0.110061569906058,0.2203551129967629,
NOTCH2,0.4568813186550256,0.2966415189876173,0.2966415189876173,0.1590108627180338,0.1590108627180338,0.2966415189876173,0.2966415189876173,0.2113765579554827,0.2966415189876173,0.2966415189876173,0.1590108627180338,0.0909822856582357,0.1590108627180338,0.0435923090132636,0.1091089002569246,0.2966415189876173,0.2113765579554827,1.0,0.2966415189876173,1.0,0.2113765579554827,0.1590108627180338,0.2113765579554827,0.2966415189876173,0.1091089002569246,0.2365327346296052,
NRCAM,0.4452876482514695,0.1063393821913049,0.1063393821913049,0.2980399686694793,0.2980399686694793,0.1063393821913049,0.1063393821913049,0.2980399686694793,0.2641388783194574,0.2641388783194574,0.2980399686694793,0.1696790878080438,0.2980399686694793,0.2980399686694793,0.1696790878080438,0.1063393821913049,0.2980399686694793,1.0,0.1063393821913049,1.0,0.2980399686694793,0.2980399686694793,0.2980399686694793,0.2641388783194574,0.1696790878080438,0.2980399686694793,
TREM2,0.4524826125752283,0.1580847488564194,0.1580847488564194,0.2903973133560508,0.2903973133560508,0.1580847488564194,0.1580847488564194,0.2903973133560508,0.2633577462936742,0.2633577462936742,0.2903973133560508,0.0798125837086339,0.2903973133560508,0.2903973133560508,0.1220820823228232,0.1580847488564194,0.2903973133560508,1.0,0.1580847488564194,1.0,0.2903973133560508,0.2903973133560508,0.2903973133560508,0.2633577462936742,0.1220820823228232,0.2903973133560508,
TSPAN10,0.4529330326010779,0.1594559028026818,0.1594559028026818,0.2899321987862708,0.2899321987862708,0.1594559028026818,0.1594559028026818,0.2899321987862708,0.2637500055219268,0.2637500055219268,0.2899321987862708,0.0731615444336793,0.2899321987862708,0.2899321987862708,0.1206591381168613,0.1594559028026818,0.2899321987862708,1.0,0.1594559028026818,1.0,0.2899321987862708,0.2899321987862708,0.2899321987862708,0.2637500055219268,0.1206591381168613,0.2899321987862708,
TSPAN12,0.4577110480783531,0.2953522381504319,0.2953522381504319,0.166322663021504,0.166322663021504,0.2953522381504319,0.2953522381504319,0.095619524907997,0.2953522381504319,0.2953522381504319,0.166322663021504,0.2953522381504319,0.166322663021504,0.166322663021504,0.1167252028312866,0.2953522381504319,0.2337224379250363,1.0,0.2953522381504319,1.0,0.095619524907997,0.166322663021504,0.2337224379250363,0.2953522381504319,0.1167252028312866,0.2280553969226245,
TSPAN14,0.4542759485850857,0.2941770387965088,0.2941770387965088,0.1673204489228451,0.1673204489228451,0.2941770387965088,0.2941770387965088,0.2214946849610126,0.2941770387965088,0.2941770387965088,0.1673204489228451,0.0598451201780852,0.1673204489228451,0.0817642703493933,0.1156739045135226,0.2941770387965088,0.2214946849610126,1.0,0.2941770387965088,1.0,0.2214946849610126,0.1673204489228451,0.2214946849610126,0.2941770387965088,0.1156739045135226,0.2214946849610126,
TSPAN15,0.4515474726249185,0.1344981588940401,0.1344981588940401,0.2936455249503291,0.2936455249503291,0.1344981588940401,0.1344981588940401,0.2936455249503291,0.2553696218601509,0.2553696218601509,0.2936455249503291,0.071130978789328,0.2936455249503291,0.2936455249503291,0.2936455249503291,0.1344981588940401,0.2936455249503291,1.0,0.1344981588940401,1.0,0.2936455249503291,0.2936455249503291,0.2936455249503291,0.2553696218601509,0.2936455249503291,0.2936455249503291,
TSPAN17,0.4550572448694758,0.2949919687793498,0.2949919687793498,0.1646286536527011,0.1646286536527011,0.2949919687793498,0.2949919687793498,0.2210799129598648,0.2949919687793498,0.2949919687793498,0.1646286536527011,0.0768056767380456,0.1646286536527011,0.0547845829310195,0.1154115058170049,0.2949919687793498,0.2210799129598648,1.0,0.2949919687793498,1.0,0.2210799129598648,0.1646286536527011,0.2210799129598648,0.2949919687793498,0.1154115058170049,0.2210799129598648,
