gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene	x	y	value	category	label
HBB	Apocrine Cells	403	0.0173697270471464	0.0120397773298253	0.0173697270471464	0.1837405009640988	0.3140388386888691	6	12	0.1837405009640988	contamination_control	HBB|Apocrine Cells
ITGA2B	Apocrine Cells	403	0.0272952853598014	0.0189196500897255	0.0272952853598014	0.2394670371455872	0.2709717441767389	6	10	0.2394670371455872	contamination_control	ITGA2B|Apocrine Cells
KDR	Apocrine Cells	403	0.0719602977667493	0.0450114385365135	0.0570719602977667	0.0523636151340271	0.0895539639024636	6	4	0.0523636151340271	endothelial_or_axis_marker	KDR|Apocrine Cells
MMRN2	Apocrine Cells	403	0.0124069478908188	0.0085998409498752	0.0124069478908188	0.0144127715265631	0.0220068939963845	6	6	0.0144127715265631	endothelial_or_axis_marker	MMRN2|Apocrine Cells
PECAM1	Apocrine Cells	403	0.0719602977667493	0.0474452580228949	0.064516129032258	0.0330392303820476	0.0723426208261856	6	2	0.0330392303820476	endothelial_or_axis_marker	PECAM1|Apocrine Cells
PF4	Apocrine Cells	403	0.0173697270471464	0.0120397773298253	0.0173697270471464	0.4940215712710401	0.5043424317617866	6	9	0.4940215712710401	contamination_control	PF4|Apocrine Cells
PPBP	Apocrine Cells	403	0.0074441687344913	0.0051599045699251	0.0074441687344913	0.1963528270481602	0.2036393713813068	6	8	0.1963528270481602	contamination_control	PPBP|Apocrine Cells
SELP	Apocrine Cells	403	0.0297766749379652	0.0206396182797006	0.0297766749379652	0.0658546119343693	0.1147426473034014	6	1	0.0658546119343693	endothelial_or_axis_marker	SELP|Apocrine Cells
VWF	Apocrine Cells	403	0.0620347394540942	0.040857650860157	0.0545905707196029	0.0246385086733293	0.0621667875195901	6	0	0.0246385086733293	endothelial_or_axis_marker	VWF|Apocrine Cells
CLEC14A	B Cells	2512	0.0187101910828025	0.0120058431015313	0.0155254777070063	0.0188503433035694	0.0263359008153467	17	7	0.0188503433035694	endothelial_or_axis_marker	CLEC14A|B Cells
EMCN	B Cells	2512	0.0147292993630573	0.0098660029710838	0.0135350318471337	0.0140968557434515	0.0213432281312271	17	3	0.0140968557434515	endothelial_or_axis_marker	EMCN|B Cells
FLT1	B Cells	2512	0.0322452229299363	0.0207212203728157	0.0270700636942675	0.029642229211666	0.043881997988602	17	5	0.029642229211666	endothelial_or_axis_marker	FLT1|B Cells
GP1BA	B Cells	2512	0.0047770700636942	0.0029207551408071	0.0035828025477707	0.1167450916171898	0.110171178343949	17	11	0.1167450916171898	contamination_control	GP1BA|B Cells
HBB	B Cells	2512	0.0067675159235668	0.0040244926894695	0.0051751592356687	0.0614182706733004	0.0935651430784227	17	12	0.0614182706733004	contamination_control	HBB|B Cells
ITGA2B	B Cells	2512	0.0035828025477707	0.0024834094844902	0.0035828025477707	0.0314326485135728	0.0355679833573042	17	10	0.0314326485135728	contamination_control	ITGA2B|B Cells
KDR	B Cells	2512	0.0207006369426751	0.013270991919345	0.0171178343949044	0.0154386781650545	0.0268602990941877	17	4	0.0154386781650545	endothelial_or_axis_marker	KDR|B Cells
MMRN2	B Cells	2512	0.0103503184713375	0.0067162015942481	0.0087579617834394	0.011255915041736	0.0155344842493587	17	6	0.011255915041736	endothelial_or_axis_marker	MMRN2|B Cells
