dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,filter_name,n_tiles_min,n_cells_min,n_contours,partial_spearman_rho,abs_partial_spearman_rho,reported_partial_rho
breast,UNI,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__976__mean,,n_tiles_ge_2,2.0,,193,-0.3886000241811068,0.3886000241811068,-0.3768965348336236
breast,UNI,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__976__mean,,n_tiles_ge_3,3.0,,135,-0.4922292961663073,0.4922292961663073,-0.3768965348336236
breast,UNI,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__976__mean,,n_cells_ge_20,,20.0,252,-0.3750576910420581,0.3750576910420581,-0.3768965348336236
breast,UNI,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__976__mean,,n_cells_ge_50,,50.0,208,-0.4512436330823626,0.4512436330823626,-0.3768965348336236
breast,UNI,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__976__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,121,-0.5174544342120811,0.5174544342120811,-0.3768965348336236
breast,PLIP,tls_b_cell_plasma,program__wta_tls_b_cell_plasma,embedding__20__mean,,full_set,,,300,-0.4091289018039983,0.4091289018039983,-0.4091289018039984
breast,PLIP,tls_b_cell_plasma,program__wta_tls_b_cell_plasma,embedding__20__mean,,n_tiles_ge_2,2.0,,193,-0.3370250173469822,0.3370250173469822,-0.4091289018039984
breast,PLIP,tls_b_cell_plasma,program__wta_tls_b_cell_plasma,embedding__20__mean,,n_tiles_ge_3,3.0,,135,-0.3355222363154457,0.3355222363154457,-0.4091289018039984
breast,PLIP,tls_b_cell_plasma,program__wta_tls_b_cell_plasma,embedding__20__mean,,n_cells_ge_20,,20.0,252,-0.3616914331100051,0.3616914331100051,-0.4091289018039984
breast,PLIP,tls_b_cell_plasma,program__wta_tls_b_cell_plasma,embedding__20__mean,,n_cells_ge_50,,50.0,208,-0.3686458370376204,0.3686458370376204,-0.4091289018039984
breast,PLIP,tls_b_cell_plasma,program__wta_tls_b_cell_plasma,embedding__20__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,121,-0.3732784273465743,0.3732784273465743,-0.4091289018039984
breast,UNI,t_cell_exhaustion_checkpoint,program__wta_t_cell_exhaustion_checkpoint,embedding__361__mean,,full_set,,,300,0.3909301306362649,0.3909301306362649,0.3909301306362649
breast,UNI,t_cell_exhaustion_checkpoint,program__wta_t_cell_exhaustion_checkpoint,embedding__361__mean,,n_tiles_ge_2,2.0,,193,0.36524503586701,0.36524503586701,0.3909301306362649
breast,UNI,t_cell_exhaustion_checkpoint,program__wta_t_cell_exhaustion_checkpoint,embedding__361__mean,,n_tiles_ge_3,3.0,,135,0.3883464704563887,0.3883464704563887,0.3909301306362649
