dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,reported_partial_rho,perturbation,dx_px,dy_px,rotation_deg,scale,base_partial_spearman_rho,base_n_contours,perturbed_partial_spearman_rho,perturbed_n_contours,delta_from_base,sign_matches_base,assignment_fraction,n_assigned_tiles,n_total_tiles
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,rotate_-0.25deg,0.0,0.0,-0.25,1.0,0.5362570920848087,157,0.5563586200397012,154,0.0201015279548925,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,rotate_+0.25deg,0.0,0.0,0.25,1.0,-0.6518850249169947,157,-0.6685944807653518,163,-0.016709455848357,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,rotate_+0.25deg,0.0,0.0,0.25,1.0,0.5231042749349548,157,0.5264610785645132,163,0.0033568036295583,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,rotate_+0.25deg,0.0,0.0,0.25,1.0,0.5362570920848087,157,0.5449301156911563,163,0.0086730236063476,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,rotate_+0.50deg,0.0,0.0,0.5,1.0,-0.6518850249169947,157,-0.7005358339303532,160,-0.0486508090133585,True,0.9993579454253612,3113,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,rotate_+0.50deg,0.0,0.0,0.5,1.0,0.5231042749349548,157,0.4850959943303732,160,-0.0380082806045815,True,0.9993579454253612,3113,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,rotate_+0.50deg,0.0,0.0,0.5,1.0,0.5362570920848087,157,0.5449578821879413,160,0.0087007901031326,True,0.9993579454253612,3113,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,scale_0.995,0.0,0.0,0.0,0.995,-0.6518850249169947,157,-0.6727561665575353,151,-0.0208711416405406,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,scale_0.995,0.0,0.0,0.0,0.995,0.5231042749349548,157,0.5151652638975898,151,-0.007939011037365,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,scale_0.995,0.0,0.0,0.0,0.995,0.5362570920848087,157,0.5049913592332976,151,-0.031265732851511,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,scale_1.005,0.0,0.0,0.0,1.005,-0.6518850249169947,157,-0.5980027670186933,167,0.0538822578983014,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,scale_1.005,0.0,0.0,0.0,1.005,0.5231042749349548,157,0.5113564093934316,167,-0.0117478655415231,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,scale_1.005,0.0,0.0,0.0,1.005,0.5362570920848087,157,0.4953300232912568,167,-0.0409270687935517,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,combo_dx+8_dy+8_rot+0.25,8.0,8.0,0.25,1.0,-0.6518850249169947,157,-0.6647414946100509,161,-0.0128564696930562,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,combo_dx+8_dy+8_rot+0.25,8.0,8.0,0.25,1.0,0.5231042749349548,157,0.5270237246615684,161,0.0039194497266136,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,combo_dx+8_dy+8_rot+0.25,8.0,8.0,0.25,1.0,0.5362570920848087,157,0.5206139651432522,161,-0.0156431269415564,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,combo_dx-8_dy+8_rot-0.25,-8.0,8.0,-0.25,1.0,-0.6518850249169947,157,-0.601546192370444,150,0.0503388325465506,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,combo_dx-8_dy+8_rot-0.25,-8.0,8.0,-0.25,1.0,0.5231042749349548,157,0.5201720646506888,150,-0.002932210284266,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,combo_dx-8_dy+8_rot-0.25,-8.0,8.0,-0.25,1.0,0.5362570920848087,157,0.5410399446983031,150,0.0047828526134944,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,combo_dx+8_dy-8_rot+0.25,8.0,-8.0,0.25,1.0,-0.6518850249169947,157,-0.6747975523450993,164,-0.0229125274281045,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,combo_dx+8_dy-8_rot+0.25,8.0,-8.0,0.25,1.0,0.5231042749349548,157,0.5430298021462442,164,0.0199255272112893,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,combo_dx+8_dy-8_rot+0.25,8.0,-8.0,0.25,1.0,0.5362570920848087,157,0.5257713946311785,164,-0.0104856974536301,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,combo_dx-8_dy-8_rot-0.25,-8.0,-8.0,-0.25,1.0,-0.6518850249169947,157,-0.6409452233225698,152,0.0109398015944249,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,combo_dx-8_dy-8_rot-0.25,-8.0,-8.0,-0.25,1.0,0.5231042749349548,157,0.5321929454283146,152,0.0090886704933598,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,combo_dx-8_dy-8_rot-0.25,-8.0,-8.0,-0.25,1.0,0.5362570920848087,157,0.5396929346922076,152,0.0034358426073989,True,1.0,3115,3115
