cell_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
ldppccmm-1,0.7680746049500331,0.7728842430504431,0.0,0.46140962205197367,0.41556137263782406,0.0,0.0,0.0778733728050725,0.0,0.0
leblkjaf-1,0.7150011520754578,0.5540515298961323,0.0,0.3376236638620961,0.38533448988404745,0.0,0.0,0.0,0.0,0.073680568057111
lechfmhm-1,0.5951942337583788,0.45459683853627686,0.0,0.1819963640867288,0.7456575787010442,0.0,0.06482650340252659,0.0,0.0,0.0
ledoafbf-1,0.38839490646789887,0.3760773686901457,0.23637602611170183,0.19279932199093877,0.2587961055656758,0.2550610550073787,0.1277302529706494,0.0,0.0836000424736783,0.23898027887179693
lefhfiog-1,0.5933708793607616,0.533508319108095,0.0,0.1570034141346063,0.28150779339666,0.0,0.0,0.0,0.0,0.0
legpkfni-1,0.1557137829041878,0.0,0.0,0.10228087050351611,0.1978463607196317,0.7518697160577962,0.4577948896659412,0.0,0.7350457725496599,0.48753062974102723
lejglfoo-1,0.6815191582426435,0.5510144267802052,0.0,0.3240839094472736,0.5895151474647744,0.0,0.04425129046895668,0.0,0.0,0.057742172569115874
lejpgmho-1,0.16841768358630674,0.12618538612149272,0.0,0.22125089974845008,0.0,0.46808245968164386,0.10086148639272856,0.0,0.31607443203962576,0.5420682813524239
lelkioal-1,0.374913703963668,0.09085360972056977,0.48447937924175866,0.27118251690244066,0.7022757968261982,0.1916504358862555,0.19800618226675512,0.0,0.22786442535130644,0.2886238071101901
lemkakfh-1,0.5520214021768971,0.6865682315869834,0.0,0.23269347439189572,0.38324780591504176,0.0,0.0,0.0,0.0,0.0
lfbfhpjo-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfjgapei-1,0.6707757353841665,0.34918536272076484,0.0,0.3475402991733966,0.3939627703245673,0.0,0.0,0.0,0.0,0.09116213227138706
lfjkbfpj-1,0.5406580911432989,0.21525081137581212,0.0,0.17312263836488115,0.3048648874789136,0.06005901950786811,0.0,0.0,0.07509598091883352,0.0
lflbccna-1,0.5298908103334498,0.504270748571962,0.07196413302536518,0.3183316987957706,0.616291276446449,0.0,0.0,0.0,0.0,0.0651430899263746
lflmegge-1,0.19533993667911353,0.4586377649309225,0.33726683393413137,0.256618757761926,0.21501087988988524,0.08471518472656955,0.3034616718977344,0.0,0.15859024467041985,0.39230388204486377
lfmnlege-1,0.13652251259436862,0.3207338408528593,0.3695523866069162,0.0,0.47608531219423894,0.09378980075054055,0.11219963685613597,0.0,0.0,0.0
lfnhgbfj-1,0.550332839225095,0.299135715694686,0.0,0.29052359664771205,0.5619724980533096,0.0,0.0,0.0,0.0,0.0
