ligand,Hypoxic Tumor Cells,Exhausted T Cells,Dyskeratotic Tumor Cells,Metabolic Invasive Basal Cells,Dendritic Cells,B Cells,Cytotoxic T Cells,Stroma & Smooth Muscle,Regulatory T Cells,Macrophages,Plasma Cells,Neutrophils,Naive & Memory T Cells,Migratory Invasive Basal Cells,Parabasal Tumor Cells,Mast Cells,Endothelial Cells,OR4F17+ Cells,Detachment,Interstitial Fibroblasts,Differentiating Tumor Cells,Proliferative Parabasal Cells,Cancer Associated Fibroblasts,Endocervical Columnar Cells,Endocervical Ciliated Cells,nan,Smooth Muscle
ANGPTL1,0.4590650776351742,0.1422918312067524,0.2990082377046222,0.1713244326229985,0.1713244326229985,0.2990082377046222,0.2990082377046222,0.0642966489018608,0.1422918312067524,0.2990082377046222,0.2990082377046222,0.2990082377046222,0.2990082377046222,0.1713244326229985,0.1713244326229985,0.2990082377046222,0.0642966489018608,0.2990082377046222,0.238945364397441,0.238945364397441,0.1713244326229985,0.1713244326229985,0.1422918312067524,1.0,1.0,,0.2342508080582207
ANGPTL2,0.4554044954426611,0.1161097244834698,0.3109558025623326,0.2704179416779346,0.2704179416779346,0.1630862982932382,0.1630862982932382,0.2704179416779346,0.0471628352742923,0.1630862982932382,0.1630862982932382,0.3109558025623326,0.1630862982932382,0.2704179416779346,0.2704179416779346,0.1630862982932382,0.2704179416779346,0.3109558025623326,0.2704179416779346,0.2704179416779346,0.2704179416779346,0.2704179416779346,0.0619696163821295,1.0,1.0,,0.2704179416779346
ANGPTL3,0.4529140289769292,0.0776181938909029,0.2635026301767003,0.2900286682130685,0.2900286682130685,0.1584749500472251,0.1584749500472251,0.2900286682130685,0.1197380565257875,0.1584749500472251,0.1584749500472251,0.2635026301767003,0.1584749500472251,0.2900286682130685,0.2900286682130685,0.1584749500472251,0.2900286682130685,0.2635026301767003,0.2900286682130685,0.2900286682130685,0.2900286682130685,0.2900286682130685,0.1197380565257875,1.0,1.0,,0.2900286682130685
ANGPTL4,0.4568317051730637,0.1017093990341827,0.296815278357464,0.1606938775714118,0.0479501351672648,0.296815278357464,0.296815278357464,0.2118005968255245,0.1207956682459124,0.296815278357464,0.296815278357464,0.296815278357464,0.296815278357464,0.1606938775714118,0.1606938775714118,0.296815278357464,0.2118005968255245,0.296815278357464,0.2118005968255245,0.2118005968255245,0.1606938775714118,0.1606938775714118,0.1207956682459124,1.0,1.0,,0.2381584694230258
ANGPTL7,0.4570119803128159,0.2945890596147753,0.2945890596147753,0.168970725000281,0.168970725000281,0.2945890596147753,0.2945890596147753,0.1185718797718205,0.0963456434028096,0.2945890596147753,0.2945890596147753,0.2945890596147753,0.2945890596147753,0.168970725000281,0.168970725000281,0.2945890596147753,0.1185718797718205,0.2945890596147753,0.2339360852089358,0.2339360852089358,0.168970725000281,0.168970725000281,0.0963456434028096,1.0,1.0,,0.2279371010533094
ANOS1,0.4513878735226397,0.0786441718553842,0.2594287854442103,0.2932884860156878,0.2932884860156878,0.1134615412883444,0.1134615412883444,0.2932884860156878,0.2932884860156878,0.1134615412883444,0.0585691360329186,0.2594287854442103,0.1134615412883444,0.2932884860156878,0.2932884860156878,0.1134615412883444,0.2932884860156878,0.2594287854442103,0.2932884860156878,0.2932884860156878,0.2932884860156878,0.2932884860156878,0.2932884860156878,1.0,1.0,,0.2932884860156878
ANXA1,0.457190159218448,0.28948640564682,0.28948640564682,0.1264791684949268,0.0674650698338387,0.28948640564682,0.28948640564682,0.2120259713405011,0.28948640564682,0.28948640564682,0.28948640564682,0.28948640564682,0.28948640564682,0.1264791684949268,0.1264791684949268,0.28948640564682,0.2120259713405011,0.28948640564682,0.2120259713405011,0.2120259713405011,0.1264791684949268,0.1264791684949268,0.28948640564682,1.0,1.0,,0.2306600030809944
ANXA2,0.4553816682067234,0.0931655684340441,0.2956859301769331,0.1639533450621137,0.0508296050186575,0.2956859301769331,0.2956859301769331,0.2207815780611051,0.1197120084339307,0.2956859301769331,0.2956859301769331,0.2956859301769331,0.2956859301769331,0.1639533450621137,0.1639533450621137,0.2956859301769331,0.2207815780611051,0.2956859301769331,0.2207815780611051,0.2207815780611051,0.1639533450621137,0.1639533450621137,0.1197120084339307,1.0,1.0,,0.2207815780611051
APELA,0.454108357256906,0.0921428530968062,0.263702111589399,0.2893467375087781,0.2893467375087781,0.1637371526302434,0.1637371526302434,0.2893467375087781,0.1219445616525088,0.1637371526302434,0.1637371526302434,0.263702111589399,0.1637371526302434,0.2893467375087781,0.2893467375087781,0.1637371526302434,0.2893467375087781,0.263702111589399,0.2893467375087781,0.2893467375087781,0.2893467375087781,0.2893467375087781,0.1219445616525088,1.0,1.0,,0.2893467375087781
APLN,0.4501602877027025,0.0961561717744332,0.253558488320365,0.2954862282810647,0.2954862282810647,0.1271937830435169,0.1271937830435169,0.2954862282810647,0.2954862282810647,0.1271937830435169,0.1271937830435169,0.253558488320365,0.1271937830435169,0.2954862282810647,0.2954862282810647,0.1271937830435169,0.2954862282810647,0.253558488320365,0.2954862282810647,0.2954862282810647,0.2954862282810647,0.2954862282810647,0.2954862282810647,1.0,1.0,,0.2954862282810647
APOA1,0.4517516209280441,0.0587251712281206,0.2656724288791705,0.2911039634902925,0.2911039634902925,0.1491325800211725,0.1491325800211725,0.2911039634902925,0.1147894767592764,0.1491325800211725,0.1491325800211725,0.2656724288791705,0.1491325800211725,0.2911039634902925,0.2911039634902925,0.1491325800211725,0.2911039634902925,0.2656724288791705,0.2911039634902925,0.2911039634902925,0.2911039634902925,0.2911039634902925,0.1147894767592764,1.0,1.0,,0.2911039634902925
APOA2,0.4531129463881846,0.0603156922392006,0.2649038149098758,0.2896684816011305,0.2896684816011305,0.1572695804439678,0.1572695804439678,0.2896684816011305,0.1143892351107885,0.1572695804439678,0.1572695804439678,0.2649038149098758,0.1572695804439678,0.2896684816011305,0.2896684816011305,0.1572695804439678,0.2896684816011305,0.2649038149098758,0.2896684816011305,0.2896684816011305,0.2896684816011305,0.2896684816011305,0.1143892351107885,1.0,1.0,,0.2896684816011305
APOA4,0.4522684975143657,0.064092070253153,0.2644080198033741,0.2904871255729909,0.2904871255729909,0.1536124350125466,0.1536124350125466,0.2904871255729909,0.1163645028946555,0.1536124350125466,0.1536124350125466,0.2644080198033741,0.1536124350125466,0.2904871255729909,0.2904871255729909,0.1536124350125466,0.2904871255729909,0.2644080198033741,0.2904871255729909,0.2904871255729909,0.2904871255729909,0.2904871255729909,0.1163645028946555,1.0,1.0,,0.2904871255729909
APOB,0.455656170622234,0.0955905468842634,0.2950285295688209,0.1664238928846143,0.0784339659403235,0.2950285295688209,0.2950285295688209,0.2110350353250492,0.1130552296992235,0.2950285295688209,0.2950285295688209,0.2950285295688209,0.2950285295688209,0.1664238928846143,0.1664238928846143,0.2950285295688209,0.2110350353250492,0.2950285295688209,0.2110350353250492,0.2110350353250492,0.1664238928846143,0.1664238928846143,0.1130552296992235,1.0,1.0,,0.2380760828532031
