ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
CXCL12,CXCR4,Apocrine Cells,"CAFs, DCIS Associated",precomputed,precomputed,precomputed,0.0,0.37618697444839866,0.0,0.00022698568102339834,0.0310998965832685,0.0,0.0,0.0,0.0,89,1.0,1.1767839613935888e-05
CSF1,CSF1R,Plasma Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.628123476046365,0.0,0.0,0.009092431017982948,0.0004638967946451689,0.0,0.0,0.0,0.0,24,1.0,1.1763215222738632e-05
CXCL12,CXCR4,Basal-like Structured DCIS Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.48278432644270686,0.0,0.0,0.0021291294377375697,0.002454914102060298,0.0,0.00032748231595493846,0.01330629557909961,0.0,694,1.0,1.1668075328539575e-05
CXCL12,CXCR4,Apocrine Cells,Plasma Cells,precomputed,precomputed,precomputed,0.0,0.37618697444839866,0.0,0.00022698568102339834,0.029279151553362335,0.0,0.012121212121212121,0.2862106011150586,0.0,15,1.0,1.1650109283249402e-05
DLL4,NOTCH3,11q13 Invasive Tumor Cells (G1/S),Apocrine Cells,precomputed,precomputed,precomputed,0.509882268986773,0.0,0.0,0.0008958753988410421,0.00526416445270294,0.0,0.0,0.0,0.0,4,1.0,1.157467418690286e-05
DLL4,NOTCH3,Apocrine Cells,11q13 Invasive Tumor Cells (G1/S),precomputed,precomputed,precomputed,0.0,0.5135084777480219,0.0,0.0001268124169210086,0.0362497659817488,0.0,0.0,0.0,0.0,4,1.0,1.1539176860776828e-05
DLL4,NOTCH3,CXCL14+ Fibroblasts,Apocrine Cells,precomputed,precomputed,precomputed,0.8999695474149415,0.0,0.0,0.0004696576149175879,0.00526416445270294,0.0,0.0,0.0,0.0,29,1.0,1.1425927163756613e-05
JAG1,NOTCH1,Apocrine Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.0,0.0,1.0,0.0010709508378277067,0.0019835632600448422,0.0,0.0015856998702609194,0.12516807789016562,0.0,991,1.0,1.1338013591219496e-05
DLL4,NOTCH3,Mast Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.7899592629148473,0.0,0.0,0.00047235258648800887,0.00526416445270294,0.0,0.0,0.0,0.0,3,1.0,1.1190987511631718e-05
JAG1,NOTCH1,Apocrine Cells,Myeloid Cells,precomputed,precomputed,precomputed,0.0,0.7395744237294981,0.0,0.0010709508378277067,0.0024587070627964786,0.0,0.0,0.0,0.0,20,1.0,1.117490927189857e-05
CXCL12,CXCR4,Apocrine Cells,Myoepithelial Cells,precomputed,precomputed,precomputed,0.0,0.37618697444839866,0.0,0.00022698568102339834,0.021502591154489905,0.0,0.00014553216260793634,0.01748360441774089,0.0,937,1.0,1.1065865649808425e-05
DLL4,NOTCH3,Luminal-like Amorphous DCIS Cells,Mast Cells,precomputed,precomputed,precomputed,0.0,0.7850493526209386,0.0,0.011649387573427093,0.00018718663110571166,0.0,0.0,0.0,0.0,34,1.0,1.0937458298879751e-05
CXCL12,CXCR4,Apocrine Cells,Pericytes,precomputed,precomputed,precomputed,0.0,0.7370798554171776,0.0,0.00022698568102339834,0.009156953124503932,0.0,0.0,0.0,0.0,9,1.0,1.073694185433954e-05
CSF1,CSF1R,CXCL14+ Fibroblasts,Apocrine Cells,precomputed,precomputed,precomputed,0.8757522736627364,0.0,0.0,0.0032976778039481187,0.0004638967946451689,0.0,0.0,0.0,0.0,29,1.0,1.0499539659674206e-05
JAG1,NOTCH1,Apocrine Cells,Mast Cells,precomputed,precomputed,precomputed,0.0,0.7395744237294981,0.0,0.0010709508378277067,0.0015718900135326876,0.0,0.0,0.0,0.0,1,1.0,1.0372021290817647e-05
JAG1,NOTCH1,Apocrine Cells,Plasma Cells,precomputed,precomputed,precomputed,0.0,0.37721518580541,0.0,0.0010709508378277067,0.0029919533735881763,0.0,0.0047619047619047615,0.18289156950552046,0.0,15,1.0,1.0320953952326393e-05
CXCL12,CXCR4,11q13 Invasive Tumor Cells (Mitotic),Apocrine Cells,precomputed,precomputed,precomputed,0.48278432644270686,0.0,0.0,0.0009692519480124524,0.002454914102060298,0.0,0.0,0.0,0.0,5,1.0,1.0233842622581005e-05
JAG1,NOTCH1,T Lymphocytes,Apocrine Cells,precomputed,precomputed,precomputed,0.8289287788808167,0.0,0.0,0.0006856224272495787,0.0019835632600448422,0.0,0.0,0.0,0.0,86,1.0,1.0201784286481392e-05
CXCL12,CXCR4,Apocrine Cells,"CAFs, Invasive Associated",precomputed,precomputed,precomputed,0.0,0.6167051131442042,0.0,0.00022698568102339834,0.008007263802792432,0.0,0.0,0.0,0.0,0,1.0,1.0192091288865424e-05
CXCL12,CXCR4,Apocrine Cells,11q13 Invasive Tumor Cells (Mitotic),precomputed,precomputed,precomputed,0.0,0.6167051131442042,0.0,0.00022698568102339834,0.006423079245780309,0.0,0.0,0.0,0.0,2,1.0,9.82441088880708e-06
CXCL12,CXCR4,Apocrine Cells,Mast Cells,precomputed,precomputed,precomputed,0.0,0.7370798554171776,0.0,0.00022698568102339834,0.004443041812720275,0.0,0.0,0.0,0.0,1,1.0,9.517778347704037e-06
DLL4,NOTCH3,Apocrine Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.0,0.0,1.0,0.0001268124169210086,0.00526416445270294,0.0,0.0003363605785401951,0.015447815494568562,0.0,991,1.0,9.348768030640141e-06
