image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis,run_id,run_dir
embedding__plip_027,10,0.1666707452925935,0.0420824210069236,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_002,10,0.1662745933576865,0.1048472711918268,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_031,10,0.1657632098858494,0.0596071377178534,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_015,10,0.165306326525805,0.0602276835499496,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_055,10,0.1644265978917974,0.06566042699276,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_013,10,0.1627488835199164,0.0946543406679326,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_004,10,0.1574955624658737,0.1067998204985706,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_033,10,0.1572409616753907,0.091747880161705,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_005,10,0.1550059610669721,0.0573226814764806,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_012,10,0.1541047964756621,0.0763295941436492,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
