region_x_bin,region_y_bin,immune_resistance__axis__checkpoint,immune_resistance__axis__myeloid,immune_resistance__axis__vascular,immune_resistance__axis__emt,immune_resistance__model__rna_only,immune_resistance__model__protein_only,immune_resistance__model__joint_activity,immune_resistance__model__discordance_burden,immune_resistance__model__checkpoint_only,immune_resistance__model__myeloid_only,immune_resistance__model__vascular_only,immune_resistance__model__emt_only,immune_resistance__model__joint_minus_checkpoint,immune_resistance__model__joint_minus_myeloid,immune_resistance__model__joint_minus_vascular,immune_resistance__model__joint_minus_emt,immune_resistance__model__myeloid_vascular_branch,immune_resistance__model__epithelial_emt_front_branch,immune_resistance__branch_target__myeloid_vascular,immune_resistance__branch_target__epithelial_emt_front,immune_resistance__held_out__myeloid_vascular,immune_resistance__held_out__epithelial_emt_front,n_cells,region_x_min,region_x_max,region_y_min,region_y_max,region_x_center,region_y_center
0,10,-0.10584992,-0.7166554,0.30460203,0.014360334,-0.13419478,-0.11757669,-0.12588573,0.6656341,-0.10584992,-0.7166554,0.30460203,0.014360334,-0.13256434,0.07103747,-0.26938164,-0.17263442,-0.17263442,-0.26938164,0.15712664,0.17353776,0.037478704,0.67291313,587,1.490325927734375,479.4687563578288,2420.731050769488,2662.4751846988993,240.47954114278158,2541.603117734194
0,11,-0.0033142653,-0.5665985,0.1849711,0.048682004,-0.12885436,-0.039275464,-0.084064916,0.67567456,-0.0033142653,-0.5665985,0.1849711,0.048682004,-0.1109818,0.076779604,-0.17374359,-0.12831388,-0.12831388,-0.17374359,0.14357865,0.20663783,0.031746034,0.7171717,693,1.490325927734375,479.4687563578288,2662.4751846988993,2904.219318628311,240.47954114278158,2783.347251663605
0,12,-0.13750747,-0.7179449,0.034110323,-0.13748707,-0.19581316,-0.28360137,-0.23970728,0.6744736,-0.13750747,-0.7179449,0.034110323,-0.13748707,-0.27377388,-0.080294736,-0.3309798,-0.27378067,-0.27378067,-0.3309798,0.15538561,0.17542484,0.064705886,0.71568626,510,1.490325927734375,479.4687563578288,2904.219318628311,3145.9634525577226,240.47954114278158,3025.0913855930166
0,13,-0.08604273,-0.5964432,0.16941187,-0.14729315,-0.1645006,-0.16568299,-0.1650918,0.6706567,-0.08604273,-0.5964432,0.16941187,-0.14729315,-0.19144148,-0.021308007,-0.27659303,-0.17102467,-0.17102467,-0.27659303,0.19269623,0.14016621,0.1468144,0.5858726,722,1.490325927734375,479.4687563578288,3145.9634525577226,3387.707586487134,240.47954114278158,3266.8355195224285
0,14,-0.04653543,-0.4934612,0.25078484,0.036748935,-0.13792795,0.011696539,-0.06311571,0.66171205,-0.04653543,-0.4934612,0.25078484,0.036748935,-0.06864247,0.08033279,-0.16774923,-0.09640393,-0.09640393,-0.16774923,0.17003192,0.17856818,0.08344733,0.7004104,731,1.490325927734375,479.4687563578288,3387.707586487134,3629.451720416546,240.47954114278158,3508.57965345184
0,15,-0.024839297,-0.3972687,0.33421224,0.0081469035,-0.09556699,0.055692554,-0.019937221,0.66535574,-0.024839297,-0.3972687,0.33421224,0.0081469035,-0.018303197,0.10583995,-0.13798703,-0.029298594,-0.029298594,-0.13798703,0.17936754,0.15794872,0.056410257,0.7307692,780,1.490325927734375,479.4687563578288,3629.451720416546,3871.1958543459573,240.47954114278158,3750.3237873812513
0,16,0.056675542,-0.27402693,0.28170016,-0.05838188,-0.12293896,0.12592241,0.0014917229,0.67965865,0.056675542,-0.27402693,0.28170016,-0.05838188,-0.016902884,0.09333127,-0.09191109,0.02144959,0.02144959,-0.09191109,0.17736523,0.11404708,0.06378132,0.5455581,878,1.490325927734375,479.4687563578288,3871.1958543459573,4112.939988275369,240.47954114278158,3992.067921310663
0,17,0.11821305,0.05218202,0.01750339,-0.29052886,-0.1949888,0.1436736,-0.025657604,0.72159207,0.11821305,0.05218202,0.01750339,-0.29052886,-0.073614486,-0.051604144,-0.0400446,0.06263282,0.06263282,-0.0400446,0.25641173,0.054642748,0.40604344,0.34183192,1059,1.490325927734375,479.4687563578288,4112.939988275369,4354.684122204781,240.47954114278158,4233.812055240074
0,18,0.013543747,-0.18844989,-0.073044084,-0.6698541,-0.35399374,-0.10490839,-0.22945108,0.7355274,0.013543747,-0.18844989,-0.073044084,-0.6698541,-0.31044933,-0.24311814,-0.28158674,-0.08265008,-0.08265008,-0.28158674,0.2607528,0.0104933,0.43627033,0.076133445,1169,1.490325927734375,479.4687563578288,4354.684122204781,4596.4282561341915,240.47954114278158,4475.556189169486
0,19,0.14618066,0.025570186,-0.13518782,-0.4949635,-0.23606187,0.0068616252,-0.114600115,0.72144985,0.14618066,0.025570186,-0.13518782,-0.4949635,-0.20152704,-0.16132355,-0.10773755,0.012187676,0.012187676,-0.10773755,0.23153967,0.025920168,0.32426128,0.16018662,1286,1.490325927734375,479.4687563578288,4596.4282561341915,4838.172390063603,240.47954114278158,4717.300323098898
