program,feature_kind,feature_name,effect_size,p_value,matched_control_delta,fdr
myeloid_vascular_belt,gene,PECAM1,0.16589885603424243,0.19670560245894686,0.16589885603424243,0.9284504436062292
myeloid_vascular_belt,marker_pair,vegfa_kdr__cross_zone,0.16013847937650633,0.19670560245894686,0.16013847937650633,0.9284504436062292
myeloid_vascular_belt,marker_pair,tgfb1_tgfbr2__cross_zone,0.13917808318732847,0.19670560245894686,0.13917808318732847,0.9284504436062292
myeloid_vascular_belt,gene,HILPDA,0.13349711829877994,0.19670560245894686,0.13349711829877994,0.9284504436062292
myeloid_vascular_belt,gene,KDR,0.1233404723605519,0.19670560245894686,0.1233404723605519,0.9284504436062292
myeloid_vascular_belt,gene,RGS5,0.0817460362319042,0.19670560245894686,0.0817460362319042,0.9284504436062292
myeloid_vascular_belt,gene,ACTA2,0.07378731720177432,0.19670560245894686,0.07378731720177432,0.9284504436062292
myeloid_vascular_belt,gene,SPP1,0.06025177519402534,0.19670560245894686,0.06025177519402534,0.9284504436062292
myeloid_vascular_belt,gene,PRF1,0.06009394153483766,0.19670560245894686,0.06009394153483766,0.9284504436062292
myeloid_vascular_belt,gene,CXCR5,0.05730516380846878,0.19670560245894686,0.05730516380846878,0.9284504436062292
myeloid_vascular_belt,gene,EMCN,0.052380636878268744,0.19670560245894686,0.052380636878268744,0.9284504436062292
myeloid_vascular_belt,gene,TYROBP,0.03381772673739227,0.19670560245894686,0.03381772673739227,0.9284504436062292
myeloid_vascular_belt,gene,CD79A,0.03373520104827602,0.19670560245894686,0.03373520104827602,0.9284504436062292
myeloid_vascular_belt,gene,HLA-DRA,0.032922718982403266,0.19670560245894686,0.032922718982403266,0.9284504436062292
myeloid_vascular_belt,marker_pair,cxcl13_cxcr5__cross_zone,0.018091926781764,0.19670560245894686,0.018091926781764,0.9284504436062292
myeloid_vascular_belt,marker_pair,tgfb1_tgfbr2__outer_minus_inner,1.1803752498293771,0.7,1.1803752498293771,1.0
myeloid_vascular_belt,marker_pair,spp1_cd44__outer_minus_inner,0.6680054977870185,1.0,0.6680054977870183,1.0
myeloid_vascular_belt,marker_pair,cxcl13_cxcr5__outer_minus_inner,0.2423168670017984,0.6428348264908044,0.2423168670017984,1.0
myeloid_vascular_belt,gene,COL4A2,0.19227858480335633,0.6428348264908044,0.19227858480335636,1.0
myeloid_vascular_belt,gene,COL4A1,0.14140334130108298,0.6428348264908044,0.14140334130108298,1.0
myeloid_vascular_belt,marker_pair,spp1_cd44__cross_zone,0.12105533203418503,0.3536785173184648,0.12105533203418506,1.0
myeloid_vascular_belt,gene,CD44,0.11737454548816662,1.0,0.11737454548816663,1.0
myeloid_vascular_belt,pathway,vascular_stromal,0.045191220924910305,0.3536785173184648,0.04519122092491031,1.0
myeloid_vascular_belt,pathway,hypoxia_necrosis,0.038276184983303055,0.6428348264908044,0.03827618498330306,1.0
myeloid_vascular_belt,gene,ENO1,0.0334254368266697,0.5049850750938458,0.0334254368266697,1.0
myeloid_vascular_belt,gene,TGFB1,0.01606612021770027,0.5049850750938458,0.01606612021770027,1.0
myeloid_vascular_belt,gene,CD3D,0.011934804752699814,0.5049850750938458,0.011934804752699814,1.0
myeloid_vascular_belt,gene,MS4A1,0.010179608118512623,0.5049850750938458,0.010179608118512623,1.0
myeloid_vascular_belt,gene,CA9,0.008006566858280545,0.5049850750938458,0.008006566858280545,1.0
myeloid_vascular_belt,gene,GZMB,0.0064886683001353996,0.5049850750938458,0.0064886683001353996,1.0
myeloid_vascular_belt,pathway,myeloid_activation,0.005278521607412448,1.0,0.005278521607412445,1.0
myeloid_vascular_belt,gene,MMP11,0.0051337820565650295,0.5049850750938458,0.0051337820565650295,1.0
myeloid_vascular_belt,gene,JCHAIN,0.004718860406213763,0.5049850750938458,0.004718860406213763,1.0
myeloid_vascular_belt,gene,LST1,0.0027235483819742817,0.5049850750938458,0.0027235483819742817,1.0
myeloid_vascular_belt,pathway,emt_invasion,0.000821091045084682,1.0,0.000821091045084682,1.0
myeloid_vascular_belt,gene,FN1,0.00019628646121164217,1.0,0.00019628646121165141,1.0
myeloid_vascular_belt,pathway,stromal_matrix,-0.01426759203809043,1.0,-0.014267592038090434,1.0
myeloid_vascular_belt,pathway,tls_activation,-0.016499765045669912,1.0,-0.016499765045669912,1.0
myeloid_vascular_belt,gene,CD68,-0.02054875722630424,1.0,-0.020548757226304226,1.0
myeloid_vascular_belt,gene,CD163,-0.03017175787185286,1.0,-0.03017175787185285,1.0
myeloid_vascular_belt,pathway,immune_activation,-0.033124735839597935,1.0,-0.033124735839597935,1.0
myeloid_vascular_belt,marker_pair,vegfa_kdr__outer_minus_inner,-0.08770186089218197,0.6428348264908044,-0.08770186089218197,1.0
myeloid_vascular_belt,gene,LDHA,-0.0932082257101718,1.0,-0.0932082257101718,1.0
myeloid_vascular_belt,gene,COL1A1,-0.09447455242299238,1.0,-0.0944745524229924,1.0
myeloid_vascular_belt,gene,CXCL13,-0.127777978804793,1.0,-0.127777978804793,1.0
myeloid_vascular_belt,gene,TRAC,-0.17690101274969575,1.0,-0.17690101274969575,1.0
myeloid_vascular_belt,gene,TGFBR2,-0.18345182542108746,1.0,-0.18345182542108748,1.0
myeloid_vascular_belt,gene,VIM,-0.2008944980110196,1.0,-0.2008944980110197,1.0
myeloid_vascular_belt,gene,CXCR4,-0.22051179308466548,1.0,-0.22051179308466548,1.0
