method_source	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	spatial_support_type
pyxenium	MMRN2	CD93	Endothelial Cells	Endothelial Cells	0.7107166026857937	0.99999317975144	10.0	topology_local_contact
pyxenium	VWF	ITGA9	Endothelial Cells	Endothelial Cells	0.7083995070560564	0.9999924219460442	11.0	topology_local_contact
pyxenium	MMP2	PECAM1	CAFs, DCIS Associated	Endothelial Cells	0.6971282135184347	0.9999909063352532	13.0	topology_local_contact
pyxenium	COL4A1	CD93	Endothelial Cells	Endothelial Cells	0.6965751554743362	0.9999901485298576	14.0	topology_local_contact
pyxenium	CXCL12	ITGA5	CAFs, DCIS Associated	Endothelial Cells	0.6886191799307758	0.999989390724462	15.0	topology_local_contact
pyxenium	CD34	SELP	Endothelial Cells	Endothelial Cells	0.6842280929589697	0.9999878751136708	17.0	topology_local_contact
pyxenium	VEGFC	FLT1	Endothelial Cells	Endothelial Cells	0.6835286288881741	0.9999871173082752	18.0	topology_local_contact
pyxenium	CXCL12	AVPR1A	CAFs, DCIS Associated	Pericytes	0.677852474314717	0.9999863595028796	19.0	topology_local_contact
pyxenium	CCN1	CAV1	CAFs, DCIS Associated	Endothelial Cells	0.6766771533392466	0.999985601697484	20.0	topology_local_contact
pyxenium	EDN1	ADGRL4	Endothelial Cells	Endothelial Cells	0.6734470755024204	0.9999848438920884	21.0	topology_local_contact
pyxenium	DLL4	NOTCH3	Endothelial Cells	Pericytes	0.6695148471220083	0.9999825704759018	24.0	topology_local_contact
pyxenium	C3	LRP1	CAFs, DCIS Associated	CAFs, DCIS Associated	0.6685524242873452	0.9999818126705062	25.0	topology_local_contact
pyxenium	A2M	LRP1	Endothelial Cells	CAFs, DCIS Associated	0.6652291956976334	0.9999810548651108	26.0	topology_local_contact
pyxenium	CXCL12	ITGA4	CAFs, DCIS Associated	T Lymphocytes	0.6620786139506267	0.999980297059715	27.0	topology_local_contact
