feature	classification_name	mean_value	median_value	n_contours
edge_contrast__rna__pecam1	S2 Basal-like Structured DCIS Cells #3.1			0
edge_contrast__rna__pecam1	S3 Macrophages #1.1			0
edge_contrast__rna__pecam1	S3 Macrophages #2.1			0
edge_contrast__rna__pecam1	S3 Macrophages #4.1			0
edge_contrast__rna__pecam1	S4 Plasma Cells #3.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #1.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #2.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #3.1			0
edge_contrast__rna__pecam1	S5 Endothelial Cells #4.1			0
edge_contrast__rna__pecam1	S6 Apocrine Cells #1.1			0
edge_contrast__rna__pecam1	S6 Apocrine Cells #2.1			0
edge_contrast__rna__pecam1	S6 Apocrine Cells #3.1			0
edge_contrast__rna__pecam1	S7 Luminal-like Amorphous DCIS Cells #3.1			0
edge_contrast__rna__pecam1	S7 Luminal-like Amorphous DCIS Cells #4.1			0
lr__vegfa_kdr__cross_zone	S6 Apocrine Cells #4.1	0.3315217986903787	0.3315217986903787	1
lr__vegfa_kdr__cross_zone	S7 Luminal-like Amorphous DCIS Cells #1.1	0.2720295612377846	0.2720295612377846	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #1.1	0.2604028680967408	0.2604028680967408	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #1.1	0.2385779751029094	0.2385779751029094	1
lr__vegfa_kdr__cross_zone	S3 Macrophages #3.1	0.2083858768917343	0.2083858768917343	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #4.1	0.1685370600271817	0.1685370600271817	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #4.1	0.1241815093888909	0.1241815093888909	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S1 11q13 Invasive Tumor Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S2 Basal-like Structured DCIS Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S3 Macrophages #1.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S3 Macrophages #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S3 Macrophages #4.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S4 Plasma Cells #1.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S4 Plasma Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S4 Plasma Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S4 Plasma Cells #4.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S5 Endothelial Cells #1.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S5 Endothelial Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S5 Endothelial Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S5 Endothelial Cells #4.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S6 Apocrine Cells #1.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S6 Apocrine Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S6 Apocrine Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S7 Luminal-like Amorphous DCIS Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__cross_zone	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S3 Macrophages #2.1	2.1880331736972054	2.1880331736972054	1
lr__vegfa_kdr__outer_minus_inner	S5 Endothelial Cells #4.1	1.082245528511163	1.082245528511163	1
lr__vegfa_kdr__outer_minus_inner	S4 Plasma Cells #3.1	0.902328828711564	0.902328828711564	1
lr__vegfa_kdr__outer_minus_inner	S4 Plasma Cells #2.1	0.9016343065360316	0.9016343065360316	1
lr__vegfa_kdr__outer_minus_inner	S4 Plasma Cells #1.1	0.5507373288324215	0.5507373288324215	1
lr__vegfa_kdr__outer_minus_inner	S7 Luminal-like Amorphous DCIS Cells #2.1	0.4870589880015346	0.4870589880015346	1
lr__vegfa_kdr__outer_minus_inner	S6 Apocrine Cells #2.1	0.423765617792729	0.423765617792729	1
lr__vegfa_kdr__outer_minus_inner	S3 Macrophages #3.1	0.3447905751097102	0.3447905751097102	1
lr__vegfa_kdr__outer_minus_inner	S6 Apocrine Cells #1.1	0.2500373282706009	0.2500373282706009	1
lr__vegfa_kdr__outer_minus_inner	S2 Basal-like Structured DCIS Cells #4.1	0.1835391796631965	0.1835391796631965	1
lr__vegfa_kdr__outer_minus_inner	S2 Basal-like Structured DCIS Cells #1.1	0.0283628008469855	0.0283628008469855	1
lr__vegfa_kdr__outer_minus_inner	S1 11q13 Invasive Tumor Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S1 11q13 Invasive Tumor Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S2 Basal-like Structured DCIS Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S3 Macrophages #1.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S3 Macrophages #4.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S5 Endothelial Cells #1.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S5 Endothelial Cells #2.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S5 Endothelial Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S6 Apocrine Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S7 Luminal-like Amorphous DCIS Cells #3.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
lr__vegfa_kdr__outer_minus_inner	S7 Luminal-like Amorphous DCIS Cells #1.1	-0.0571588289538346	-0.0571588289538346	1
lr__vegfa_kdr__outer_minus_inner	S1 11q13 Invasive Tumor Cells #1.1	-0.0691727001092147	-0.0691727001092147	1
lr__vegfa_kdr__outer_minus_inner	S4 Plasma Cells #4.1	-0.0938573176442186	-0.0938573176442186	1
lr__vegfa_kdr__outer_minus_inner	S1 11q13 Invasive Tumor Cells #4.1	-0.1119077683586124	-0.1119077683586124	1
lr__vegfa_kdr__outer_minus_inner	S6 Apocrine Cells #4.1	-1.7505813891524211	-1.7505813891524211	1
pathway__core__vascular_stromal	S4 Plasma Cells #3.1	0.2509549498741152	0.2509549498741152	1
pathway__core__vascular_stromal	S4 Plasma Cells #2.1	0.1736929544180049	0.1736929544180049	1
pathway__core__vascular_stromal	S5 Endothelial Cells #2.1	0.117460756143878	0.117460756143878	1
pathway__core__vascular_stromal	S3 Macrophages #3.1	0.0965901550491241	0.0965901550491241	1
pathway__core__vascular_stromal	S2 Basal-like Structured DCIS Cells #4.1	0.0777144220406205	0.0777144220406205	1
pathway__core__vascular_stromal	S6 Apocrine Cells #1.1	0.0665752898267624	0.0665752898267624	1
pathway__core__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #1.1	0.0641194866771945	0.0641194866771945	1
pathway__core__vascular_stromal	S1 11q13 Invasive Tumor Cells #1.1	0.0552819523571244	0.0552819523571244	1
pathway__core__vascular_stromal	S4 Plasma Cells #1.1	0.0537475301405883	0.0537475301405883	1
pathway__core__vascular_stromal	S1 11q13 Invasive Tumor Cells #4.1	0.0514563791435199	0.0514563791435199	1
pathway__core__vascular_stromal	S2 Basal-like Structured DCIS Cells #1.1	0.0421215456748306	0.0421215456748306	1
pathway__core__vascular_stromal	S2 Basal-like Structured DCIS Cells #2.1	0.0	0.0	1
pathway__core__vascular_stromal	S3 Macrophages #2.1	0.0	0.0	1
pathway__core__vascular_stromal	S3 Macrophages #4.1	0.0	0.0	1
pathway__core__vascular_stromal	S4 Plasma Cells #4.1	0.0	0.0	1
pathway__core__vascular_stromal	S5 Endothelial Cells #1.1	0.0	0.0	1
pathway__core__vascular_stromal	S5 Endothelial Cells #4.1	0.0	0.0	1
pathway__core__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0	0.0	1
pathway__core__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #4.1	0.0	0.0	1
pathway__core__vascular_stromal	S1 11q13 Invasive Tumor Cells #2.1			0
pathway__core__vascular_stromal	S1 11q13 Invasive Tumor Cells #3.1			0
pathway__core__vascular_stromal	S2 Basal-like Structured DCIS Cells #3.1			0
pathway__core__vascular_stromal	S3 Macrophages #1.1			0
pathway__core__vascular_stromal	S5 Endothelial Cells #3.1			0
pathway__core__vascular_stromal	S6 Apocrine Cells #2.1			0
pathway__core__vascular_stromal	S6 Apocrine Cells #3.1			0
pathway__core__vascular_stromal	S6 Apocrine Cells #4.1			0
pathway__core__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #3.1			0
pathway__inner_rim__vascular_stromal	S6 Apocrine Cells #4.1	0.1640485796713655	0.1640485796713655	1
pathway__inner_rim__vascular_stromal	S4 Plasma Cells #4.1	0.1358370413852803	0.1358370413852803	1
pathway__inner_rim__vascular_stromal	S3 Macrophages #3.1	0.1174794488310913	0.1174794488310913	1
pathway__inner_rim__vascular_stromal	S4 Plasma Cells #2.1	0.1043312901386763	0.1043312901386763	1
pathway__inner_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #1.1	0.0797757517494406	0.0797757517494406	1
pathway__inner_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #1.1	0.0785502249364695	0.0785502249364695	1
pathway__inner_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #1.1	0.0648430826385768	0.0648430826385768	1
pathway__inner_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #4.1	0.0612486365698713	0.0612486365698713	1
pathway__inner_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #4.1	0.0574527509181122	0.0574527509181122	1
pathway__inner_rim__vascular_stromal	S4 Plasma Cells #1.1	0.0419106868803214	0.0419106868803214	1
pathway__inner_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #2.1	0.0212279165855456	0.0212279165855456	1
pathway__inner_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #2.1			0
pathway__inner_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #3.1			0
pathway__inner_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #2.1			0
pathway__inner_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #3.1			0
pathway__inner_rim__vascular_stromal	S3 Macrophages #1.1			0
pathway__inner_rim__vascular_stromal	S3 Macrophages #2.1			0
pathway__inner_rim__vascular_stromal	S3 Macrophages #4.1			0
