ligand	receptor	sender_celltype	receiver_celltype	CCI_score	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_coverage	cross_edge_count
DLL4	NOTCH3	Endothelial Cells	Pericytes	0.6695148471220083	0.9184503888425788	0.8818326005152037	0.946515890536252	1.0	0.8672894033034337	0.135465098207694	0.0303190087002372	11379
C3	LRP1	CAFs, DCIS Associated	CAFs, DCIS Associated	0.6685524242873452	0.7148920381722296	0.7346293219749174	1.0	1.0	1.0	0.1700215762644027	0.0289073363954321	94924
A2M	LRP1	Endothelial Cells	CAFs, DCIS Associated	0.6652291956976334	0.8937519114898692	0.7346293219749174	0.7204611100467462	1.0	1.0	0.1832027437627448	0.0369387462343996	13942
CXCL12	ITGA4	CAFs, DCIS Associated	T Lymphocytes	0.6620786139506267	0.8924110508951895	0.9255624071030766	0.6198216015396206	1.0	1.0	0.1645204742753035	0.0430024129610479	11604
CXCL12	CXCR4	CAFs, DCIS Associated	T Lymphocytes	0.6616803690861207	0.8924110508951895	0.9008184599638702	0.6198216015396206	1.0	1.0	0.1684304172162009	0.0450706652878317	11604
C1QB	LRP1	Macrophages	CAFs, DCIS Associated	0.6604210530468991	0.9256868304646206	0.7346293219749174	0.7204611100467462	1.0	1.0	0.1693489539054447	0.0644863645683822	9754
THBS2	CD36	CAFs, DCIS Associated	Endothelial Cells	0.6533579344234645	0.724503440376099	0.8587566561291643	0.7204611100467462	1.0	1.0	0.1735345106193826	0.0301142263759086	16371
CCN2	LRP1	CAFs, DCIS Associated	CAFs, DCIS Associated	0.6507830004450641	0.7200946100459834	0.7346293219749174	1.0	1.0	1.0	0.1436016153476842	0.0440879019004677	94924
DLL4	NOTCH4	Endothelial Cells	Endothelial Cells	0.6396824416127207	0.9184503888425788	0.896164124004365	1.0	1.0	1.0	0.0832421424982991	0.0090773925972298	12779
DLL1	NOTCH3	Endothelial Cells	Pericytes	0.6393086011414735	0.9356727248601746	0.8818326005152037	0.946515890536252	1.0	0.8672894033034337	0.1008001429589402	0.0178398804815888	11379
CCN1	CAV1	Endothelial Cells	Endothelial Cells	0.6381096730354273	0.9219165193585238	0.942159351720962	1.0	0.4529166025129413	1.0	0.171608073011602	0.0385789185382267	12779
TFPI	LRP1	CAFs, DCIS Associated	CAFs, DCIS Associated	0.6355818730909826	0.7323972453470969	0.7346293219749174	1.0	1.0	1.0	0.1225219764752093	0.0168450549913615	94924
SERPING1	LRP1	CAFs, DCIS Associated	CAFs, DCIS Associated	0.6306915375596012	0.727601813550428	0.7346293219749174	1.0	1.0	1.0	0.1177443100833028	0.0138637225569929	94924
BMP2	ENG	Pericytes	Endothelial Cells	0.6285254555185357	0.93291605469554	0.925235419826512	0.946515890536252	1.0	1.0	0.0754595866837129	0.0099331768105472	11074
VEGFC	ITGA9	Endothelial Cells	Endothelial Cells	0.6247162195058895	0.8718210606749883	0.9404022517663844	1.0	1.0	1.0	0.0725029355718542	0.0068862978323812	12779
HSPG2	PTPRS	Endothelial Cells	CAFs, DCIS Associated	0.6205452715392298	0.8818165186409654	0.7262559448293688	0.7204611100467462	1.0	1.0	0.1237548677141416	0.0168555443982212	13942
LAMB1	ITGA1	CAFs, DCIS Associated	Endothelial Cells	0.6184716639115609	0.736686263185982	0.9509143218802616	0.7204611100467462	1.0	1.0	0.1108879290147009	0.0188748396554883	16371
CCN1	ITGA5	CAFs, DCIS Associated	Endothelial Cells	0.6172518037623689	0.7324582304061453	0.95087206839837	0.7204611100467462	1.0	1.0	0.1102195529305843	0.0173477490684747	16371
COL18A1	ITGA5	Pericytes	Endothelial Cells	0.616603076672523	0.8853298028228976	0.95087206839837	0.946515890536252	1.0	1.0	0.0689729743715748	0.0096622719884413	11074
CCL16	ACKR1	Endothelial Cells	Endothelial Cells	0.6160542761210454	0.8809226034064936	0.9033337121643492	1.0	1.0	1.0	0.0686954227713286	0.0061820173722513	12779
CCN1	ITGA5	Endothelial Cells	Endothelial Cells	0.613734154114936	0.9219165193585238	0.95087206839837	1.0	0.4529166025129413	1.0	0.1346014585396741	0.0253540965646764	12779
EDN1	EDNRB	Endothelial Cells	Endothelial Cells	0.6109237126366169	0.9613635867358012	0.938846544584582	1.0	1.0	1.0	0.0576022590294273	0.005086469989827	12779
COL18A1	KDR	Pericytes	Endothelial Cells	0.6097066263782982	0.8853298028228976	0.8831973689386609	0.946515890536252	1.0	1.0	0.0694120137679983	0.016705797363193	11074
SPARC	ENG	Endothelial Cells	Endothelial Cells	0.60918129008611	0.6333894195670497	0.925235419826512	1.0	0.8658975560924522	1.0	0.1007139666158009	0.0238672822599577	12779
