ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
A2M	LRP1	Pericytes	CAFs, DCIS Associated	recompute	recompute	recompute	0.8937519114898692	0.7346293219749174	0.7204611100467462	0.3743986430148447	1.0	0.0835074846287301	0.0524806709306207	0.6214026938643678	0.0142559913693457	12977	1.0	0.4954417371114442	A2M-LRP1
VCAN	SELP	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.4618101613320855	0.8819126042133903	0.7204611100467462	0.8075661609698747	1.0	0.0618925830614234	0.0327789994502473	0.4750928490920215	0.0080630382994319	16371	1.0	0.4947503001424178	VCAN-SELP
CXCL12	SDC4	CAFs, DCIS Associated	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8924110508951895	0.8005519230420488	0.6198216015396206	1.0	1.0	0.0329837073808282	0.0428159393992215	1.0	0.021659548505186	3278	1.0	0.4944094880005654	CXCL12-SDC4
VIP	RAMP2	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.9164368190318112	0.8735701560741652	1.0	0.4804381168565847	1.0	0.0376622867848697	0.025849701332916	0.698402756880356	0.0026606150716018	12779	1.0	0.4937314216673799	VIP-RAMP2
PDGFC	FLT1	11q13 Invasive Tumor Cells	Endothelial Cells	recompute	recompute	recompute	0.7945544821351216	0.878254460598671	0.6198216015396206	1.0	1.0	0.0334288076519251	0.1064699935667672	0.4993311342703724	0.0204714640198511	4836	1.0	0.493577438016295	PDGFC-FLT1
MMP2	CCR2	CAFs, DCIS Associated	Dendritic Cells	recompute	recompute	recompute	0.718867305289982	0.7780536461505756	0.6198216015396206	1.0	1.0	0.0412832759078357	0.117334064728469	1.0	0.0274273176083379	3646	1.0	0.4927385537318665	MMP2-CCR2
BMP8A	TGFBR2	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.7995905332744531	0.9516417160285664	0.6198216015396206	1.0	1.0	0.0303361948746038	0.0934399999999998	1.0	0.02016	3125	1.0	0.4927139399146874	BMP8A-TGFBR2
VCAN	SELP	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.6607338939788099	0.8819126042133903	0.6198216015396206	1.0	1.0	0.0395350888920578	0.07736	1.0	0.03424	3125	1.0	0.4925499544860179	VCAN-SELP
CXCL12	ITGB1	CAFs, DCIS Associated	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8924110508951895	0.6642340671438188	0.6198216015396206	1.0	1.0	0.0387510373061055	0.0488815638297027	1.0	0.0298962782184258	3278	1.0	0.4923108162440878	CXCL12-ITGB1
ANGPTL2	TIE1	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.7259308410090188	0.967118575648522	0.7204611100467462	1.0	1.0	0.0280364735799558	0.0462097611630321	0.7149068823022039	0.0010995052226498	16371	1.0	0.4919846057050777	ANGPTL2-TIE1
TGFB2	ENG	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.7235322328510518	0.925235419826512	0.7204611100467462	1.0	1.0	0.0287965960089407	0.0161158959949504	0.3669068262055621	0.0022600940687801	16371	1.0	0.4902794245729297	TGFB2-ENG
VWF	SIRPA	Endothelial Cells	Dendritic Cells	recompute	recompute	recompute	0.955713094717548	0.7771441601064389	0.6198216015396206	1.0	1.0	0.0298785669934838	0.126267386399338	1.0	0.0424128180961357	2122	1.0	0.4894886521471406	VWF-SIRPA
ANGPT1	TIE1	Pericytes	Endothelial Cells	recompute	recompute	recompute	0.8910733101965267	0.967118575648522	0.946515890536252	0.7392705459788689	1.0	0.0227519214422885	0.04226115224851	1.0	0.0009030160736861	11074	1.0	0.489279621778781	ANGPT1-TIE1
RGMA	BMPR2	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.895812037222762	0.7777193059998153	0.7204611100467462	1.0	0.471416142445846	0.0579620504419052	0.026500111986643	1.0	0.0033595992914299	16371	1.0	0.4892525546075862	RGMA-BMPR2
SEMA6B	PLXNA4	Endothelial Cells	CAFs, DCIS Associated	recompute	recompute	recompute	0.6285249173624032	0.7293234124499077	0.7204611100467462	0.9878378738897686	1.0	0.0419479016612885	0.0163534643523167	1.0	0.0019365944627743	13942	1.0	0.4890743358993595	SEMA6B-PLXNA4
ANGPT2	TIE1	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.866738450840468	0.967118575648522	1.0	0.79647658533347	1.0	0.0203852610841113	0.0164332107363643	0.8695890433645689	0.000626027075671	12779	1.0	0.4886256029644242	ANGPT2-TIE1
FN1	FLT4	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.8113993551253716	0.9543253685877712	0.6198216015396206	1.0	1.0	0.0283447202807016	0.1340800000000001	1.0	0.0176	3125	1.0	0.4885905147220272	FN1-FLT4
SPARC	ENG	Pericytes	Endothelial Cells	recompute	recompute	recompute	0.6333894195670497	0.925235419826512	0.946515890536252	0.4974151347304857	1.0	0.0492812325757638	0.051386631348704	0.3527567420161265	0.0120101137800252	11074	1.0	0.4885495373498283	SPARC-ENG
CCN1	ITGB3	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.7324582304061453	0.6331209967826587	0.7204611100467462	1.0	0.7759377541095519	0.0523921772195835	0.0206951316352086	0.6419630938239275	0.0042758536436381	16371	1.0	0.4884599126027773	CCN1-ITGB3
FBLN2	ITGB3	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.9582770999218516	0.6331209967826587	1.0	0.6571256641948721	0.7759377541095519	0.0437567986823592	0.033609828625088	0.8903485809181114	0.0028171218405196	12779	1.0	0.4881835424781239	FBLN2-ITGB3
HSPG2	PTPRS	Endothelial Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8818165186409654	0.6267659297447217	0.6198216015396206	1.0	0.8572191830292294	0.0455686173631922	0.0408406907657282	1.0	0.0123271697484591	6003	1.0	0.4872494555038239	HSPG2-PTPRS
TNC	ITGA5	Myoepithelial Cells	Endothelial Cells	recompute	recompute	recompute	0.6297300084966121	0.95087206839837	0.7204611100467462	1.0	1.0	0.0309163384006646	0.0780763239875389	1.0	0.0404984423676012	2247	1.0	0.4869815865273422	TNC-ITGA5
TGM2	SDC4	Endothelial Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8659545644568631	0.8005519230420488	0.6198216015396206	1.0	1.0	0.0308879759263896	0.039765831370029	1.0	0.005663834749292	6003	1.0	0.486582877767584	TGM2-SDC4
COMP	ITGA5	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.9549368825634236	0.95087206839837	0.6198216015396206	1.0	1.0	0.0235603983513423	0.05952	1.0	0.01216	3125	1.0	0.4865091925482219	COMP-ITGA5
LAMC1	ITGA1	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.7169634783820844	0.9509143218802616	0.7204611100467462	0.7724436991241564	1.0	0.0346982361328823	0.032184282504971	0.4927538356973547	0.0024433449392217	16371	1.0	0.4859264713013889	LAMC1-ITGA1
FBN1	ITGA5	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.6568162448736358	0.95087206839837	0.6198216015396206	0.7415126665002909	1.0	0.0457044881412883	0.11288	1.0	0.04576	3125	1.0	0.4856443849667302	FBN1-ITGA5
