cell_id	cell_type	x	y	VWF	SELP	vwf_norm	selp_norm	ee_neighbor_count	active_sender_edges	active_receiver_edges	hotspot_score
eknhdcff-1	Endothelial Cells	5104.3310546875	2010.4813232421875	22.0	8.0	0.7284960027393369	0.6913742480868107	2	1	2	0.7532653990432634
jlppnlem-1	Endothelial Cells	8594.6044921875	291.3246765136719	18.0	6.0	0.6841065168404427	0.6122961576274708	3	2	3	0.7522682469212009
iobieggi-1	Endothelial Cells	5385.30078125	1969.5867919921875	41.0	9.0	0.8684045285897042	0.7245267751622539	4	4	3	0.7520763225135838
kfoebadb-1	Endothelial Cells	9013.166015625	1762.8411865234375	12.0	5.0	0.5959364698065137	0.5637914160289369	2	2	2	0.7517577298897511
jbnljlci-1	Endothelial Cells	6612.94482421875	2114.530029296875	18.0	3.0	0.6841065168404427	0.4362085839710631	1	1	1	0.7512564213050273
jbnmbmkh-1	Endothelial Cells	6624.77294921875	2109.63232421875	34.0	8.0	0.8260442127381088	0.6913742480868107	1	1	1	0.7512564213050273
haiplbeb-1	Endothelial Cells	4745.73779296875	4747.541015625	24.0	4.0	0.7478687601520222	0.5064224831767222	2	2	2	0.746369954195734
melgdjab-1	Endothelial Cells	8319.7041015625	3804.813720703125	28.0	6.0	0.7823524405574647	0.6122961576274708	3	2	3	0.7444985772403349
kfogelof-1	Endothelial Cells	8986.3310546875	1748.31494140625	26.0	6.0	0.765749772513486	0.6122961576274708	1	1	1	0.7439921172134728
kfogplnd-1	Endothelial Cells	8997.037109375	1742.3294677734375	19.0	4.0	0.6960239235889	0.5064224831767222	1	1	1	0.7439921172134728
hbefimbi-1	Endothelial Cells	3491.6708984375	4936.1708984375	25.0	3.0	0.7569812415629582	0.4362085839710631	1	1	1	0.7436367376236193
hbdopcop-1	Endothelial Cells	3508.822509765625	4935.35986328125	24.0	7.0	0.7478687601520222	0.6543128759565946	1	1	1	0.7436367376236193
kmllokio-1	Endothelial Cells	7718.8037109375	2403.16357421875	14.0	6.0	0.6291843042471731	0.6122961576274708	2	2	2	0.7434949740640759
lddcgdfc-1	Endothelial Cells	8928.5546875	1071.2677001953125	28.0	7.0	0.7823524405574647	0.6543128759565946	2	2	2	0.7433439483699839
kgmjppae-1	Endothelial Cells	9277.5654296875	1790.219970703125	40.0	5.0	0.8628057397570006	0.5637914160289369	2	1	2	0.7395891631431758
ijbceekj-1	Endothelial Cells	5684.138671875	3210.560546875	37.0	6.0	0.8451512885968872	0.6122961576274708	1	1	1	0.7380077753766033
ohkohmpf-1	Endothelial Cells	5681.95556640625	3198.169921875	20.0	3.0	0.7073597568332597	0.4362085839710631	1	1	1	0.7380077753766033
haipjolo-1	Endothelial Cells	4719.94384765625	4751.71826171875	19.0	7.0	0.6960239235889	0.6543128759565946	3	3	3	0.7340161539542519
nbcjkcif-1	Endothelial Cells	7298.93505859375	3517.500732421875	11.0	4.0	0.5773394676840509	0.5064224831767222	1	1	1	0.7337244585419933
nbcjodmf-1	Endothelial Cells	7312.96826171875	3516.192138671875	27.0	8.0	0.7741993761749866	0.6913742480868107	1	1	1	0.7337244585419933
kfpfmpkd-1	Endothelial Cells	9153.037109375	1727.4600830078125	52.0	6.0	0.9224516422441998	0.6122961576274708	3	1	3	0.7331202871150708
lokkolcn-1	Endothelial Cells	9294.0595703125	2835.478271484375	14.0	5.0	0.6291843042471731	0.5637914160289369	1	1	1	0.7320866292524213
eedlpjjg-1	Endothelial Cells	3724.15380859375	3714.068359375	26.0	6.0	0.765749772513486	0.6122961576274708	1	1	1	0.730033307000759
ibommkmc-1	Endothelial Cells	1663.872802734375	3102.88671875	33.0	8.0	0.8193092920885532	0.6913742480868107	1	1	1	0.7284551471613812
famdapej-1	Endothelial Cells	4781.166015625	3079.90966796875	27.0	7.0	0.7741993761749866	0.6543128759565946	4	3	4	0.7282220719508518
kgmcdpee-1	Endothelial Cells	9262.1513671875	1809.8719482421875	10.0	9.0	0.5571233754304706	0.7245267751622539	3	2	2	0.7272312803439323
ilmgoiph-1	Endothelial Cells	6352.5263671875	1834.2813720703125	23.0	2.0	0.7383842394404954	0.34568712404340535	1	1	0	0.7271542186648516
