gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
FLT1	11q13 Invasive Tumor Cells (G1/S)	2374	0.07666385846672283	0.05085886414762646	0.06908171861836562	0.07275488998161093	0.11198510176029795
GP1BA	11q13 Invasive Tumor Cells (G1/S)	2374	0.0016849199663016006	0.0011678975241111126	0.0016849199663016006	0.046681867146918944	0.05181128896377421
HBB	11q13 Invasive Tumor Cells (G1/S)	2374	0.008003369839932602	0.0053051526056172695	0.007160909856781803	0.080962576860319	0.1294668482282731
IL6	11q13 Invasive Tumor Cells (G1/S)	2374	0.012215669755686605	0.008224896415895052	0.011373209772535805	0.0659233354815994	0.09296925220696567
ITGA2B	11q13 Invasive Tumor Cells (G1/S)	2374	0.014321819713563605	0.009635154573916678	0.013479359730412805	0.12195267392966092	0.13381525667853356
KDR	11q13 Invasive Tumor Cells (G1/S)	2374	0.04380791912384162	0.025524522357307025	0.03201347935973041	0.029693702504390632	0.050233669213667224
MMRN2	11q13 Invasive Tumor Cells (G1/S)	2374	0.018112889637742206	0.012312537750283944	0.017270429654591406	0.020635008779970543	0.03063352228325715
PECAM1	11q13 Invasive Tumor Cells (G1/S)	2374	0.05433866891322662	0.033627142928993214	0.04507160909856782	0.02341677479728159	0.05053927406917811
PF4	11q13 Invasive Tumor Cells (G1/S)	2374	0.008845829823083403	0.006010281684628084	0.008424599831508003	0.24661658768938308	0.2446142736791431
PLAT	11q13 Invasive Tumor Cells (G1/S)	2374	6.233361415332772	1.6797995900172722	0.9182813816343723	0.8326204108051486	0.9605205252260481
PPBP	11q13 Invasive Tumor Cells (G1/S)	2374	0.013479359730412805	0.008979639242023128	0.012215669755686605	0.34170739538879036	0.3341664326500047
RAB27A	11q13 Invasive Tumor Cells (G1/S)	2374	0.13563605728727884	0.08717433109265708	0.11288963774220724	0.5532127383833855	0.5553062057773114
SELP	11q13 Invasive Tumor Cells (G1/S)	2374	0.013058129738837404	0.008687664860995349	0.011794439764111205	0.027719640464445864	0.045449172710319494
SERPINE1	11q13 Invasive Tumor Cells (G1/S)	2374	0.013058129738837404	0.008566484544040092	0.011373209772535805	0.04571546228442845	0.05529065893063883
STXBP5	11q13 Invasive Tumor Cells (G1/S)	2374	0.19039595619208088	0.12058779618287968	0.15585509688289806	0.3197002640189399	0.3808644420515853
THBD	11q13 Invasive Tumor Cells (G1/S)	2374	0.02695871946082561	0.01803084505388425	0.02485256950294861	0.043634212226005505	0.06137702159032899
VWF	11q13 Invasive Tumor Cells (G1/S)	2374	0.04380791912384162	0.026228555909064234	0.03369839932603201	0.015816682766863755	0.03837514799784763
ADAMTS13	11q13 Invasive Tumor Cells (Mitotic)	2462	0.10844841592201462	0.07215380963724537	0.0982940698619009	1.0	1.0
ANGPT2	11q13 Invasive Tumor Cells (Mitotic)	2462	0.0231519090170593	0.014831350744005966	0.019090170593013808	0.31433997963160404	0.33946565574510335
CDH5	11q13 Invasive Tumor Cells (Mitotic)	2462	0.04955320877335499	0.03306232868860427	0.04508529650690495	0.04427636022577315	0.06747927752092125
CLEC14A	11q13 Invasive Tumor Cells (Mitotic)	2462	0.06498781478472786	0.04308085688832249	0.05848903330625508	0.06764114234120203	0.0992150714463304
COL4A1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.12103980503655565	0.07503957583648756	0.09301380991064176	0.0829315986192093	0.1425286241416799
COL4A2	11q13 Invasive Tumor Cells (Mitotic)	2462	0.20227457351746547	0.12567962926130094	0.15678310316815597	0.189528968955397	0.2766722901007115
CXCL8	11q13 Invasive Tumor Cells (Mitotic)	2462	0.07392363931762795	0.04845171023728991	0.06498781478472786	1.0	1.0
EGFL7	11q13 Invasive Tumor Cells (Mitotic)	2462	0.27051177904142976	0.16641433283432155	0.20389926888708368	0.16582727658412258	0.2617096732969504
EMCN	11q13 Invasive Tumor Cells (Mitotic)	2462	0.09057676685621446	0.05810356918497897	0.0751421608448416	0.08302020943850599	0.11849076524518448
