method	database_mode	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	rank_fraction	fdr_or_pvalue	resolution	spatial_support_type	artifact_path	sender_mean_expr	receiver_mean_expr	lr_pair	method_source	sender_diffused_mean	receiver_diffused_mean	diffusion_alpha	spatial_coherence	local_lr_score	edge_count	spatialdm_moran_r	spatialdm_zscore	n_spots	n_spots_sig	n_spots_sig_pval	local_contact	contact_strength_normalized	contact_coverage	cross_edge_count
laris	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells (G1/S)	CAFs, Invasive Associated	3.4776150856502084	0.9999800756359511	27.0	0.9999800756359511		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	2.3054123407507707	1.5084568708943855	0.5												
laris	common-db	PLAT	LRP1	Basal-like Structured DCIS Cells	CAFs, DCIS Associated	3.432850426780189	0.999979309314257	28.0	0.999979309314257		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	1.7791880085771967	1.9294478212706785	0.5												
laris	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells	Macrophages	3.382055698900828	0.9999785429925628	29.0	0.9999785429925628		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	2.741773374931986	1.2335285366117192	0.5												
laris	common-db	PLAT	LRP1	11q13 Invasive Tumor Cells (Mitotic)	CAFs, Invasive Associated	3.3470331950672634	0.9999777766708686	30.0	0.9999777766708686		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	2.218845801725017	1.5084568708943855	0.5												
laris	common-db	PLAT	LRP1	Apocrine Cells	CAFs, DCIS Associated	3.262109115963635	0.9999770103491744	31.0	0.9999770103491744		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PLAT-LRP1	laris	1.6906956902391403	1.9294478212706785	0.5												
laris	common-db	HSPG2	ITGB1	Endothelial Cells	CAFs, Invasive Associated	3.218986777405098	0.9999762440274804	32.0	0.9999762440274804		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			HSPG2-ITGB1	laris	2.054039591464191	1.5671493338210158	0.5												
laris	common-db	PSAP	LRP1	Dendritic Cells	CAFs, DCIS Associated	3.1911329680620875	0.999975477705786	33.0	0.999975477705786		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			PSAP-LRP1	laris	1.6539099595657891	1.9294478212706785	0.5												
laris	common-db	APP	LRP1	Basal-like Structured DCIS Cells	CAFs, Invasive Associated	3.157035305801612	0.999974711384092	34.0	0.999974711384092		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			APP-LRP1	laris	2.092890666426386	1.5084568708943855	0.5												
laris	common-db	VWF	ITGB1	Endothelial Cells	CAFs, Invasive Associated	3.1499751765569792	0.9999739450623978	35.0	0.9999739450623978		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			VWF-ITGB1	laris	2.0100032004459494	1.5671493338210158	0.5												
laris	common-db	HSPG2	LRP1	Endothelial Cells	CAFs, Invasive Associated	3.0984301348332552	0.9999731787407036	36.0	0.9999731787407036		celltype_pair	knn_diffusion_lr	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/laris/raw			HSPG2-LRP1	laris	2.054039591464191	1.5084568708943855	0.5												
