contour_id	classification_name	assigned_structure	value	feature
S6 Apocrine Cells #2.1	S6 Apocrine Cells #2.1	Apocrine Cells		rna__core__kdr
S6 Apocrine Cells #3.1	S6 Apocrine Cells #3.1	Apocrine Cells		rna__core__kdr
S6 Apocrine Cells #4.1	S6 Apocrine Cells #4.1	Apocrine Cells		rna__core__kdr
S7 Luminal-like Amorphous DCIS Cells #1.1	S7 Luminal-like Amorphous DCIS Cells #1.1	Luminal-like Amorphous DCIS Cells	0.1486896890224372	rna__core__kdr
S7 Luminal-like Amorphous DCIS Cells #2.1	S7 Luminal-like Amorphous DCIS Cells #2.1	Luminal-like Amorphous DCIS Cells	0.0	rna__core__kdr
S7 Luminal-like Amorphous DCIS Cells #3.1	S7 Luminal-like Amorphous DCIS Cells #3.1	Luminal-like Amorphous DCIS Cells		rna__core__kdr
S7 Luminal-like Amorphous DCIS Cells #4.1	S7 Luminal-like Amorphous DCIS Cells #4.1	Luminal-like Amorphous DCIS Cells	0.0	rna__core__kdr
S1 11q13 Invasive Tumor Cells #1.1	S1 11q13 Invasive Tumor Cells #1.1	11q13 Invasive Tumor Cells	0.0552819523571244	pathway__core__vascular_stromal
S1 11q13 Invasive Tumor Cells #2.1	S1 11q13 Invasive Tumor Cells #2.1	11q13 Invasive Tumor Cells		pathway__core__vascular_stromal
S1 11q13 Invasive Tumor Cells #3.1	S1 11q13 Invasive Tumor Cells #3.1	11q13 Invasive Tumor Cells		pathway__core__vascular_stromal
S1 11q13 Invasive Tumor Cells #4.1	S1 11q13 Invasive Tumor Cells #4.1	11q13 Invasive Tumor Cells	0.0514563791435199	pathway__core__vascular_stromal
S2 Basal-like Structured DCIS Cells #1.1	S2 Basal-like Structured DCIS Cells #1.1	Basal-like Structured DCIS Cells	0.0421215456748306	pathway__core__vascular_stromal
S2 Basal-like Structured DCIS Cells #2.1	S2 Basal-like Structured DCIS Cells #2.1	Basal-like Structured DCIS Cells	0.0	pathway__core__vascular_stromal
S2 Basal-like Structured DCIS Cells #3.1	S2 Basal-like Structured DCIS Cells #3.1	Basal-like Structured DCIS Cells		pathway__core__vascular_stromal
S2 Basal-like Structured DCIS Cells #4.1	S2 Basal-like Structured DCIS Cells #4.1	Basal-like Structured DCIS Cells	0.0777144220406205	pathway__core__vascular_stromal
S3 Macrophages #1.1	S3 Macrophages #1.1	Macrophages		pathway__core__vascular_stromal
S3 Macrophages #2.1	S3 Macrophages #2.1	Macrophages	0.0	pathway__core__vascular_stromal
S3 Macrophages #3.1	S3 Macrophages #3.1	Macrophages	0.0965901550491241	pathway__core__vascular_stromal
S3 Macrophages #4.1	S3 Macrophages #4.1	Macrophages	0.0	pathway__core__vascular_stromal
S4 Plasma Cells #1.1	S4 Plasma Cells #1.1	Plasma Cells	0.0537475301405883	pathway__core__vascular_stromal
S4 Plasma Cells #2.1	S4 Plasma Cells #2.1	Plasma Cells	0.1736929544180049	pathway__core__vascular_stromal
S4 Plasma Cells #3.1	S4 Plasma Cells #3.1	Plasma Cells	0.2509549498741152	pathway__core__vascular_stromal
S4 Plasma Cells #4.1	S4 Plasma Cells #4.1	Plasma Cells	0.0	pathway__core__vascular_stromal
S5 Endothelial Cells #1.1	S5 Endothelial Cells #1.1	Endothelial Cells	0.0	pathway__core__vascular_stromal
S5 Endothelial Cells #2.1	S5 Endothelial Cells #2.1	Endothelial Cells	0.117460756143878	pathway__core__vascular_stromal
S5 Endothelial Cells #3.1	S5 Endothelial Cells #3.1	Endothelial Cells		pathway__core__vascular_stromal
