ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
VWF	SELP	B Cells	Myeloid Cells	recompute	recompute	recompute	0.6332974881236617	0.7478729882108823	0.6198216015396206	0.00023686843287	0.0027351735586246	0.0	0.0	0.0	0.0	137	1.0	0.0035199437485622	VWF-SELP
MMRN2	CLEC14A	11q13 Invasive Tumor Cells (G1/S)	Plasma Cells	recompute	recompute	recompute	0.6301823358791634	0.7154802332407408	0.6198216015396206	0.000716220684292	0.0009436211854823	0.0	0.0	0.0	0.0	5	1.0	0.0035158550906025	MMRN2-CLEC14A
CD34	SELP	B Cells	Mast Cells	recompute	recompute	recompute	0.633566764858408	0.8347297932672282	0.6198216015396206	0.0006336851232098	0.0009042150166242	0.0	0.0	0.0	0.0	97	1.0	0.0035125861560277	CD34-SELP
MMRN2	CD93	Mast Cells	B Cells	recompute	recompute	recompute	0.8571898293845529	0.7779918296243433	0.6198216015396206	0.0004196880356983	0.001079730675535	0.0	0.0	0.0	0.0	112	1.0	0.003510986786293	MMRN2-CD93
VWF	SELP	B Cells	Macrophages	recompute	recompute	recompute	0.6332974881236617	0.941479368642921	0.6198216015396206	0.00023686843287	0.0021392900294222	0.0	0.0	0.0	0.0	1065	1.0	0.0035108619495786	VWF-SELP
VWF	SELP	Myeloid Cells	Mast Cells	recompute	recompute	recompute	0.7848266128497919	0.8347297932672282	0.7827641335561659	0.0004024409845247	0.0009042150166242	0.0	0.0	0.0	0.0	23	1.0	0.0035087843753002	VWF-SELP
MMRN2	CD93	Luminal-like Amorphous DCIS Cells	Plasma Cells	recompute	recompute	recompute	0.250044481781731	0.4630027772793905	0.2461374514707439	0.0070431301838115	0.0009242223287825	0.0	0.0	0.0	0.0	272	1.0	0.0035052662968816	MMRN2-CD93
MMRN2	CLEC14A	Luminal-like Amorphous DCIS Cells	B Cells	recompute	recompute	recompute	0.250044481781731	0.6347970925105053	0.2461374514707439	0.0070431301838115	0.000671064546954	0.0	0.002840909090909	0.9422302550267788	0.0	176	1.0	0.0035026319702896	MMRN2-CLEC14A
HSPG2	LRP1	Plasma Cells	Myeloid Cells	recompute	recompute	recompute	0.4629984640915818	0.7769451595923457	0.7204611100467462	0.0012814156885439	0.0005558995075445	0.0	0.000968992248062	0.143206732609182	0.0	43	1.0	0.0035025122901249	HSPG2-LRP1
VWF	LRP1	11q13 Invasive Tumor Cells (G1/S)	B Cells	recompute	recompute	recompute	0.6332974881236617	0.6207977546603366	0.7917001487310438	0.0003521782369754	0.0016667952436519	0.0	0.0	0.0	0.0	38	1.0	0.0034964693498993	VWF-LRP1
MMRN2	CD93	Macrophages	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.893316592628645	0.8817184225858201	0.8875000050982297	0.0007691101630988	0.0003375370073613	0.0	0.0	0.0	0.0	1462	1.0	0.0034925183148877	MMRN2-CD93
MMRN2	CLEC14A	Macrophages	B Cells	recompute	recompute	recompute	0.893316592628645	0.6347970925105053	0.6198216015396206	0.0007691101630988	0.000671064546954	0.0	0.0	0.0	0.0	1074	1.0	0.0034923036939979	MMRN2-CLEC14A
